"Year","Chapter","IsChp","Article","Art","FS23X1","FS23X2","FS23X3","FS23X4","FS23X5","FS23X6","FS23X7","FS23X8","FS23X9"
2016,"I",TRUE,"Правопорушення проти основ національної безпеки України (р. І КК України)",NA,4,0,0,0,0,0,0,4,2
2016,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст.109","109",0,0,0,0,0,0,0,0,0
2016,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст.110","110",4,0,0,0,0,0,0,3,1
2016,"I",FALSE,"Екстремістська діяльність, ст. 110-1","110-1",0,0,0,0,0,0,0,0,0
2016,"I",FALSE,"Державна зрада, ст.111","111",0,0,0,0,0,0,0,0,0
2016,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст.112","112",0,0,0,0,0,0,0,0,0
2016,"I",FALSE,"Диверсія, ст.113","113",0,0,0,0,0,0,0,1,1
2016,"I",FALSE,"Шпигунство, ст.114","114",0,0,0,0,0,0,0,0,0
2016,"II",TRUE,"Правопорушення проти життя та здоров'я особи(р. ІІ КК України)",NA,500,9,4,45,24,4710,18,3050,1596
2016,"II",FALSE,"Умисне вбивство, ст.115","115",127,9,4,12,7,557,10,289,182
2016,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст.118","118",0,0,0,0,0,10,0,3,1
2016,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст.121","121",90,0,0,7,7,772,5,416,259
2016,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст.122","122",68,0,0,12,4,331,0,256,155
2016,"III",TRUE,"Правопорушення проти волі, честі та гідності особи(р. IІІ КК України)",NA,130,8,0,5,3,24,0,40,27
2016,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст.146","146",120,8,0,5,3,24,0,36,25
2016,"III",FALSE,"Захоплення заручників, ст.147","147",0,0,0,0,0,0,0,0,0
2016,"III",FALSE,"Торгівля людьми або інша незаконна угода щодо передачі людини , ст.149","149",10,0,0,0,0,0,0,2,2
2016,"III",FALSE,"Наклеп, ст. 151-1","151-1",0,0,0,0,0,0,0,0,0
2016,"IV",TRUE,"Правопорушення проти статевої свободи та статевої недоторканості особи (р. IV КК України)",NA,17,0,0,1,0,139,2,109,85
2016,"IV",FALSE,"Згвалтування, ст.152","152",17,0,0,1,0,96,1,80,65
2016,"IV",FALSE,"Насильницьке задоволення статевої пристрасті неприродним способом, ст.153","153",6,0,0,0,0,46,1,45,36
2016,"IV",FALSE,"Розбещення неповнолітніх, ст.156","156",0,0,0,0,0,28,0,13,8
2016,"V",TRUE,"Правопорушення проти виборчих, трудових та інших особистих прав і свобод людини і громадянина(р. V КК України)",NA,96,0,0,7,2,185,0,485,300
2016,"V",FALSE,"Ухилення від сплати аліментів на утримання дітей, ст.164","164",0,0,0,0,0,0,0,200,117
2016,"V",FALSE,"Невиплата заробітної плати, стипендії, пенсії чи інших установлених законом виплат, ст.175","175",0,0,0,0,0,0,0,0,0
2016,"V",FALSE,"Порушення авторського права і суміжних прав, ст.176","176",0,0,0,0,0,0,0,0,0
2016,"V",FALSE,"Порушення прав на винахід, корисну модель, промисловий зразок, топографію інтегральной мікросхеми, сорт рослин, раціоналізаторську пропозицію, ст.177","177",0,0,0,0,0,0,0,0,0
2016,"VI",TRUE,"Правопорушення проти власності (р. VІ КК України)",NA,8318,78,19,1000,672,6080,48,21193,14713
2016,"VI",FALSE,"Крадіжка, ст.185","185",6282,19,7,766,566,4711,23,17127,11754
2016,"VI",FALSE,"Грабіж, ст.186","186",1102,12,5,154,92,930,20,2709,2037
2016,"VI",FALSE,"Розбій, ст.187","187",825,46,14,112,28,407,8,848,657
2016,"VI",FALSE,"Вимагання, ст.189","189",92,11,0,3,1,8,0,54,36
2016,"VI",FALSE,"Шахрайство, ст.190","190",185,9,0,8,4,163,0,1256,875
2016,"VI",FALSE,"Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем, ст.191","191",71,4,0,1,0,3,0,51,20
2016,"VI",FALSE,"Умисне знищення або пошкодження майна, ст.194","194",16,0,0,4,2,26,0,23,17
2016,"VII",TRUE,"Правопорушення у сфері господарської діяльності(р. VІІ КК України)",NA,105,38,3,0,0,1,0,116,47
2016,"VII",FALSE,"Виготовлення, зберігання, придбання, перевезення, пересилання, ввезення в Україну з метою збуту або збут підроблених грошей, державних цінних паперів чи білетів державної лотереї, ст.199","199",7,3,0,0,0,1,0,11,6
2016,"VII",FALSE,"Незаконні дії з документами на переказ, платіжними  картками та іншими засобами доступу до банківських рахунків, обладнанням для їх  виготовлення, ст.200","200",0,0,0,0,0,0,0,2,0
2016,"VII",FALSE,"Незаконне виготовлення, зберігання, збут або транспортування з метою збуту підакцизних  товарів, ст.204","204",42,21,3,0,0,0,0,15,7
2016,"VII",FALSE,"Фіктивне підприємництво, ст.205","205",36,11,0,0,0,0,0,18,4
2016,"VII",FALSE,"Легалізація (відмивання) доходів, одержаних злочинним шляхом, ст.209","209",7,0,0,0,0,0,0,1,0
2016,"VII",FALSE,"Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням, ст.210","210",0,0,0,0,0,0,0,0,0
2016,"VII",FALSE,"Видання нормативно-правових актів, що зменшують надходження бюджету або збільшують витрати бюджету всупереч закону, ст.211","211",0,0,0,0,0,0,0,0,0
2016,"VII",FALSE,"Порушення порядку здійснення операцій з металобрухтом, ст.213","213",0,0,0,0,0,0,0,61,26
2016,"VII",FALSE,"Шахрайство з фінансовими ресурсами, ст.222","222",0,0,0,0,0,0,0,0,0
2016,"VII",FALSE,"Підроблення документів, які подаються для реєстрації випуску цінних паперів, ст.223-1","223-1",0,0,0,0,0,0,0,0,0
2016,"VII",FALSE,"Незаконна приватизація державного, комунального майна, ст.233","233",0,0,0,0,0,0,0,0,0
2016,"VIII",TRUE,"Правопорушення проти довкілля (р. VІІІ КК України)",NA,196,5,0,8,0,6,0,98,31
2016,"IX",TRUE,"Правопорушення проти громадської безпеки(р. IX КК України)",NA,148,33,10,9,0,199,12,930,567
2016,"IX",FALSE,"Створення злочинної організації , ст.255","255",15,6,0,0,0,0,0,3,0
2016,"IX",FALSE,"Сприяння учасникам злочинних організацій та укриття їх злочинної діяльності, ст.256","256",0,0,0,0,0,0,0,0,0
2016,"IX",FALSE,"Бандитизм, ст.257","257",22,17,10,0,0,0,0,8,5
2016,"IX",FALSE,"Завідомо неправдиве повідомлення про загрозу безпеці громадян, знищення чи пошкодження об’єктів  власності, ст.259","259",0,0,0,0,0,23,0,14,12
2016,"IX",FALSE,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст.262","262",4,0,0,0,0,3,0,4,4
2016,"IX",FALSE,"Незаконне поводження зі зброєю, бойовими припасами або вибуховими речовинами, ст.263","263",111,24,10,8,0,172,12,880,534
2016,"IX",FALSE,"Недбале зберігання вогнепальної зброї або бойових припасів, ст.264","264",0,0,0,0,0,0,0,0,0
2016,"IX",FALSE,"Незаконне поводження з радіоактивними матеріалами, ст.265","265",0,0,0,0,0,0,0,0,0
2016,"IX",FALSE,"Порушення правил поводження з вибуховими, легкозаймистими та їдкими речовинами або радіоактивними матеріалами, ст.267","267",0,0,0,0,0,0,0,0,0
2016,"X",TRUE,"Правопорушення проти безпеки виробництва(р. X КК України)",NA,1,0,0,0,0,0,0,0,0
2016,"XI",TRUE,"Правопорушення проти безпеки руху та експлуатації транспорту(р. XІ КК України)",NA,676,24,6,114,82,1172,26,985,661
2016,"XI",FALSE,"Порушення правил безпеки руху або експлуатації залізничного, водного чи повітряного транспорту, ст.276","276",0,0,0,0,0,0,0,0,0
2016,"XI",FALSE,"Порушення правил безпеки дорожнього  руху або експлуатації транспорту особами,  які керують транспортними засобами, ст.289","289",2,0,0,0,0,626,20,125,50
2016,"XI",FALSE,"Незаконне заволодіння транспортним засобом, ст.289","289",665,24,6,114,82,541,6,850,604
2016,"XI",FALSE,"Знищення, підробка або заміна номерів вузлів та агрегатів транспортного засобу, ст.290","290",2,0,0,0,0,1,0,4,2
2016,"XII",TRUE,"Правопорушення проти громадського порядку та моральності (р. XІІ КК України)",NA,720,13,0,163,41,713,3,518,299
2016,"XII",FALSE,"Хуліганство, ст.296","296",509,0,0,62,35,656,2,300,179
2016,"XII",FALSE,"Наруга над могилою, іншим місцем поховання або над тілом померлого, ст. 297","297",63,0,0,3,4,34,1,114,65
2016,"XII",FALSE,"Сутенерство або втягнення особи в заняття проституцією, ст.303","303",29,11,0,0,0,0,0,4,3
2016,"XII",FALSE,"Втягнення неповнолітніх у злочинну діяльність, ст.304","304",108,2,0,100,2,17,0,67,41
2016,"XIII",TRUE,"Правопорушенняу сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення(р. XІІІ КК України)",NA,152,30,12,9,2,189,377,3592,2314
2016,"XIII",FALSE,"Контрабанда наркотичних засобів, психотропних речовин, їх аналогів  або прекурсорів або фальсифікованих лікарських засобів, ст.305","305",23,9,7,0,0,0,8,11,10
2016,"XIII",FALSE,"Використання коштів, здобутих від незаконного обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів, ст.306","306",5,5,5,0,0,0,0,2,1
2016,"XIII",FALSE,"Незаконне виробництво, виготовлення, придбання, зберігання, перевезення, пересилання чи збут наркотичних засобів, психотропних речовин або їх аналогів , ст.307","307",75,27,11,3,0,1,14,87,62
2016,"XIII",FALSE,"Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем, ст.308","308",3,0,0,0,0,2,0,6,2
2016,"XIII",FALSE,"Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання наркотичних засобів, психотропних речовин або їх аналогів  без мети збуту, ст.309","309",78,4,1,6,2,177,344,3329,2174
2016,"XIII",FALSE,"Посів або вирощування снотворного маку чи конопель, ст.310","310",11,0,0,0,0,3,15,215,98
2016,"XIII",FALSE,"Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання прекурсорів, ст.311","311",16,9,4,0,0,1,7,87,59
2016,"XIII",FALSE,"Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або службовим становищем, ст.312","312",0,0,0,0,0,0,0,0,0
2016,"XIII",FALSE,"Викрадення, привласнення, вимагання обладнання, призначеного для  виготовлення наркотичних засобів, психотропних речовин, або їх аналогів чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням , ст.313","313",5,3,3,0,0,0,4,14,11
2016,"XIII",FALSE,"Незаконне введення в організм наркотичних засобів,  психотропних речовин або їх аналогів, ст.314","314",0,0,0,0,0,0,0,0,0
2016,"XIII",FALSE,"Схиляння до вживання наркотичних засобів,  психотропних речовин або їх аналогів, ст.315","315",2,1,1,0,0,1,1,5,3
2016,"XIII",FALSE,"Незаконне публічне вживання наркотичних засобів, ст.316","316",0,0,0,0,0,0,3,5,2
2016,"XIII",FALSE,"Організація або утримання місць для незаконного вживання, виробництва чи виготовлення наркотичних засобів, психотропних речовин або їх аналогів, ст.317","317",7,3,2,0,0,10,48,144,97
2016,"XIII",FALSE,"Незаконне виготовлення, підроблення, використання чи збут підроблених документів на отримання наркотичних засобів, психотропних речовин або прекурсорів, ст.318","318",0,0,0,0,0,0,0,0,0
2016,"XIII",FALSE,"Незаконна видача рецепта на право придбання наркотичних засобів або психотропних речовин, ст.319","319",0,0,0,0,0,0,0,0,0
2016,"XIII",FALSE,"Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів  або прекурсорів, ст.320","320",0,0,0,0,0,0,0,0,0
2016,"XIII",FALSE,"Незаконне виробництво, виготовлення, придбання, перевезення, пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів, ст.321","321",2,2,0,0,0,0,0,17,8
2016,"XIII",FALSE,"Незаконна організація або утримання місць для вживання одурманюючих засобів, ст.322","322",0,0,0,0,0,0,0,0,0
2016,"XIII",FALSE,"Спонукання неповнолітніх до застосування допінгу, ст.323","323",0,0,0,0,0,0,0,0,0
2016,"XIII",FALSE,"Схиляння неповнолітніх до вживання одурманюючих засобів, ст.324","324",0,0,0,0,0,0,0,0,0
2016,"XIV",TRUE,"Правопорушення у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації (р. XІV КК України)",NA,43,3,3,1,0,1,0,6,2
2016,"XV",TRUE,"Правопорушення проти авторитету органів державної влади, органів місцевого самоврядування та об'єднань громадян (р. XV КК України)",NA,250,13,0,9,3,352,6,481,314
2016,"XV",FALSE,"Захоплення державних або громадських будівель чи споруд, ст. 341","341",0,0,0,0,0,0,0,0,0
2016,"XV",FALSE,"Опір представникові влади, працівникові правоохоронного органу, державному виконавцю, члену громадського формування з охорони громадського порядку і державного кордону або військовослужбовцеві , ст.342","342",24,0,0,0,0,83,2,35,26
2016,"XV",FALSE,"Погроза або насильство щодо працівника правоохоронного органу, ст.345","345",49,0,0,2,0,209,3,103,64
2016,"XV",FALSE,"Умисне знищення або пошкодження майна працівника правоохоронного органу, ст.347","347",0,0,0,0,0,1,0,2,1
2016,"XV",FALSE,"Посягання на життя працівника правоохоронного органу, члена громадського формування з охорони громадського порядку і державного кордону або військовослужбовця, ст.348","348",2,0,0,0,0,4,1,3,3
2016,"XV",FALSE,"Захоплення представника влади або працівника правоохоронного органу як заручника, ст.349","349",0,0,0,0,0,0,0,0,0
2016,"XV",FALSE,"Примушування до виконання чи невиконання цивільно-правових зобов'язань, ст.355","355",6,2,0,0,0,2,0,2,2
2016,"XV",FALSE,"Викрадення, привласнення, вимагання документів, штампів, печаток, заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх пошкодження, ст.357","357",71,9,0,7,0,88,1,213,148
2016,"XV",FALSE,"Підроблення документів, печаток, штампів та бланків, а також збут чи використання підроблених документів, печаток, штампів, ст.358","358",72,5,0,2,0,6,0,113,63
2016,"XVI",TRUE,"Правопорушення у сфері використання електронно-обчислювальних машин (комп'ютерів ), систем та комп'ютерних мереж і мереж електрозв'язку (р. XVI КК України)",NA,15,0,0,0,0,0,0,5,4
2016,"XVI",FALSE,"Несанкціоноване втручання в роботу державних електронних інформаційних ресурсів або інформаційних, телекомунікаційних, інформаційно-телекомунікаційних систем, критичних об'єктів національної інформаційної інфраструктури, ст. 361-3","361-3",0,0,0,0,0,0,0,0,0
2016,"XVI",FALSE,"Несанкціоновані збут або розповсюдження інформації з обмеженим доступом, яка оброблюється в державних електронних інформаційних ресурсах, ст. 361-4","361-4",0,0,0,0,0,0,0,0,0
2016,"XVI",FALSE,"Несанкціоновані дії з інформацією, яка оброблюється в державних електронних інформаційних ресурсах або інформаційних, телекомунікаційних, інформаційно-телекомунікаційних системах критичних об'єктів національної інформаційної інфраструктури, вчинені особою, яка має право доступу до неї, ст. 362-1","362-1",0,0,0,0,0,0,0,0,0
2016,"XVII",TRUE,"Правопорушення у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг(р. XVII КК України)",NA,221,9,0,0,0,12,3,48,10
2016,"XVII",FALSE,"Зловживання владою або службовим становищем, ст.364","364",12,0,0,0,0,0,1,2,0
2016,"XVII",FALSE,"Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми, ст.364-1","364-1",3,1,0,0,0,0,0,2,0
2016,"XVII",FALSE,"Перевищення влади або службових повноважень, ст.365","365",27,0,0,0,0,3,0,0,0
2016,"XVII",FALSE,"Перевищення повноважень службовою особою юридичної особи приватного права незалежно від організаційно-правової форми, ст.365-1","365-1",0,0,0,0,0,0,0,0,0
2016,"XVII",FALSE,"Зловживання повноваженнями особами, які надають публічні послуги, ст.365-2","365-2",0,0,0,0,0,0,0,0,0
2016,"XVII",FALSE,"Службове підроблення, ст.366","366",63,1,0,0,0,0,0,21,1
2016,"XVII",FALSE,"Службова недбалість, ст.367","367",4,0,0,0,0,0,0,3,0
2016,"XVII",FALSE,"Одержання хабара / Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою, ст. 368","368",93,6,0,0,0,0,1,8,1
2016,"XVII",FALSE,"Незаконне збагачення, ст.368-2","368-2",0,0,0,0,0,0,0,0,0
2016,"XVII",FALSE,"Комерційний підкуп / підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми, ст. 368-3","368-3",1,0,0,0,0,0,0,0,0
2016,"XVII",FALSE,"Підкуп особи, яка надає публічні послуги, ст.368-4","368-4",1,0,0,0,0,0,0,0,0
2016,"XVII",FALSE,"Пропозиція або давання хабара / Пропозиція або надання неправомірної вигоди службовій особі, ст. 369","369",11,2,0,0,0,9,0,10,6
2016,"XVII",FALSE,"Зловживання впливом, ст.369-2","369-2",18,0,0,0,0,0,1,5,2
2016,"XVII",FALSE,"Провокація хабара або комерційного підкупу / Провокація підкупу, ст. 370","370",0,0,0,0,0,0,0,0,0
2016,"XVIII",TRUE,"Правопорушення проти правосуддя(р. XVIII КК України)",NA,43,0,0,2,1,54,0,1294,1184
2016,"XVIII",FALSE,"Погроза або насильство щодо судді, народного засідателя чи присяжного, ст.377","377",0,0,0,0,0,1,0,4,4
2016,"XVIII",FALSE,"Посягання на життя судді, народного засідателя чи присяжного у зв’язку з їх діяльністю, пов’язаною із здійсненням  правосуддя, ст.379","379",0,0,0,0,0,0,0,0,0
2016,"XVIII",FALSE,"Невиконання слідчим вказівок прокурора, ст.381-1","381-1",0,0,0,0,0,0,0,0,0
2016,"XVIII",FALSE,"Умисне невиконання угоди про примирення або про визнання винуватості, ст.389-1","389-1",0,0,0,0,0,0,0,1,1
2016,"XVIII",FALSE,"Дії, що дезорганізують роботи виправних установ, ст.392","392",7,0,0,0,0,1,0,8,8
2016,"XVIII",FALSE,"Втеча з місця позбавлення волі або з-під варти, ст.393","393",9,0,0,0,0,0,0,27,23
2016,"XVIII",FALSE,"Порушення правил адміністративного нагляду, ст.395","395",7,0,0,1,0,21,0,420,386
2016,"XVIII",FALSE,"Погроза або насильство щодо захисника чи представника особи, ст.398","398",0,0,0,0,0,0,0,0,0
2016,"XVIII",FALSE,"Посягання на життя захисника чи представника особи у зв’язку з діяльністю, пов’язаною з наданням правової допомоги, ст.400","400",0,0,0,0,0,0,0,0,0
2016,"XIX",TRUE,"Правопорушення проти встановленого порядку несення військової служби (військові злочини)(р. XIХ КК України)",NA,2,0,0,0,0,27,0,43,21
2016,"XIX",FALSE,"Опір начальникові або примушування його до порушення службових обов’язків, ст.404","404",1,0,0,0,0,3,0,0,0
2016,"XIX",FALSE,"Погроза або насильство щодо начальника, ст.405","405",0,0,0,0,0,6,0,1,0
2016,"XIX",FALSE,"Порушення статутних правил взаємовідносин між військовослужбовцями за відсутності відносин підлеглості, ст.406","406",0,0,0,0,0,5,0,1,0
2016,"XIX",FALSE,"Самовільне залишення військової частини або місця служби, ст.407","407",0,0,0,0,0,3,0,33,16
2016,"XIX",FALSE,"Дезертирство, ст.408","408",0,0,0,0,0,2,0,2,2
2016,"XIX",FALSE,"Ухилення від військової служби шляхом самокалічення або іншим способом, ст.409","409",0,0,0,0,0,0,0,0,0
2016,"XIX",FALSE,"Викрадення, привласнення, вимагання військовослужбовцем зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування,  військової та спеціальної техніки чи іншого військового майна, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем, ст.410","410",1,0,0,0,0,0,0,4,2
2016,"XIX",FALSE,"Умисне знищення або пошкодження військового майна, ст.411","411",0,0,0,0,0,1,0,0,0
2016,"XIX",FALSE,"Порушення правил поводження зі зброєю, а також із речовинами і предметами, що становлять підвищену небезпеку для оточення, ст.414","414",0,0,0,0,0,5,0,0,0
2016,"XIX",FALSE,"Порушення правил водіння або експлуатації машин, ст.415","415",0,0,0,0,0,2,0,0,0
2016,"XIX",FALSE,"Порушення правил польотів або підготовки до них, ст.416","416",0,0,0,0,0,0,0,0,0
2016,"XIX",FALSE,"Порушення правил кораблеводіння, ст.417","417",0,0,0,0,0,0,0,0,0
2016,"XIX",FALSE,"Порушення статутних правил вартової служби чи патрулювання, ст.418","418",0,0,0,0,0,0,0,0,0
2016,"XIX",FALSE,"Порушення правил несення прикордонної служби, ст.419","419",0,0,0,0,0,0,0,0,0
2016,"XIX",FALSE,"Порушення правил несення бойового чергування, ст.420","420",0,0,0,0,0,0,0,0,0
2016,"XIX",FALSE,"Порушення статутних правил внутрішньої служби, ст.421","421",0,0,0,0,0,0,0,1,1
2016,"XIX",FALSE,"Розголошення відомостей військового характеру, що становлять державну таємницю, або втрата документів чи матеріалів, що містять такі відомості, ст. 422","422",0,0,0,0,0,0,0,0,0
2016,"XIX",FALSE,"Зловживання військової службової особи владою або службовим становищем, ст.423","423",0,0,0,0,0,0,0,0,0
2016,"XIX",FALSE,"Перевищення військовою службовою особою влади чи службових повноважень, ст.424","424",0,0,0,0,0,0,0,0,0
2016,"XIX",FALSE,"Недбале ставлення до військової служби, ст.425","425",0,0,0,0,0,0,0,1,1
2016,"XIX",FALSE,"Бездіяльність військової влади, ст.426","426",0,0,0,0,0,0,0,0,0
2016,"XX",TRUE,"Правопорушення проти миру, безпеки людства та міжнародного правопорядку(р. XX КК України)",NA,0,0,0,0,0,0,0,0,0
2016,"XX",FALSE,"Публічне заперечення чи виправдання злочинів фашизму, пропаганда неонацистської ідеології, виготовлення та (або) розповсюдження матеріалів, у яких виправдовуються злочини фашистів і їх прибічників, ст. 436-1","436-1",0,0,0,0,0,0,0,0,0
