"Year","Chapter","IsChp","Article","Art","FS23X1","FS23X2","FS23X3","FS23X4","FS23X5","FS23X6","FS23X7","FS23X8","FS23X9"
2022,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст. 121","121",38,0,0,5,0,445,5,242,147
2022,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст. 122","122",22,0,0,0,2,133,0,152,84
2022,"II",FALSE,"Домашнє насильство, ст. 126-1","126-1",0,0,0,0,0,280,1,272,166
2022,"III",TRUE,"Кримінальні правопорушення проти волі, честі та гідності особи (р. IІІ Кримінального кодексу України )",NA,61,11,0,5,0,16,0,19,10
2022,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст. 146","146",56,11,0,5,0,16,0,17,9
2022,"III",FALSE,"Насильницьке зникнення, ст. 146-1","146-1",4,0,0,0,0,0,0,0,0
2022,"III",FALSE,"Захоплення заручників, ст. 147","147",0,0,0,0,0,0,0,0,0
2022,"III",FALSE,"Торгівля людьми, ст. 149","149",1,0,0,0,0,0,0,2,1
2022,"IV",TRUE,"Кримінальні правопорушення проти статевої свободи та статевої недоторканості особи (р. IV Кримінального кодексу України )",NA,8,0,0,0,3,42,1,48,29
2022,"IV",FALSE,"Згвалтування, ст. 152","152",5,0,0,0,2,32,1,32,20
2022,"IV",FALSE,"Сексуальне насильство, ст. 153","153",4,0,0,0,2,5,0,8,5
2022,"IV",FALSE,"Розбещення неповнолітніх, ст. 156","156",3,0,0,0,0,9,0,11,4
2022,"V",TRUE,"Кримінальні правопорушення проти виборчих, трудових та інших особистих прав і свобод людини  і громадянина (р. V Кримінального кодексу України )",NA,45,6,0,0,0,92,0,265,159
2022,"V",FALSE,"Порушення рівноправності громадян залежно від їх расової, національної належності, релігійних переконань, інвалідності та за іншими ознаками, ст. 161","161",0,0,0,0,0,0,0,1,1
2022,"V",FALSE,"Ухилення від сплати аліментів на утримання дітей, ст. 164*","164",0,0,0,0,0,0,0,63,34
2022,"V",FALSE,"Перешкоджання законній професійній діяльності журналістів, ст. 171*","171",3,0,0,0,0,0,0,0,0
2022,"V",FALSE,"Невиплата заробітної плати, стипендії, пенсії чи інших установлених  законом виплат, ст. 175","175",0,0,0,0,0,0,0,1,1
2022,"V",FALSE,"Порушення авторського права і суміжних прав, ст. 176","176",0,0,0,0,0,0,0,0,0
2022,"V",FALSE,"Порушення прав на винахід, корисну модель, промисловий зразок, топографію інтегральной мікросхеми, сорт рослин, раціоналізаторську пропозицію, ст. 177","177",0,0,0,0,0,0,0,0,0
2022,"VI",TRUE,"Кримінальні правопорушення проти власності (р. VІ Кримінального кодексу України )",NA,2193,82,10,194,130,1022,12,9071,6285
2022,"VI",FALSE,"Крадіжка, ст. 185","185",1603,6,0,156,103,780,5,7623,5285
2022,"VI",FALSE,"Грабіж, ст. 186","186",206,4,0,13,24,163,6,806,583
2022,"VI",FALSE,"Розбій, ст. 187","187",132,18,0,17,2,60,3,178,131
2022,"VI",FALSE,"Вимагання, ст. 189","189",63,6,1,4,5,1,0,23,15
2022,"VI",FALSE,"Шахрайство, ст. 190","190",158,33,9,13,3,36,0,708,496
2022,"VI",FALSE,"Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем, ст. 191","191",78,19,0,0,0,1,0,19,4
