"","Year","Article","Part","Chapter","CRTOT","CONVIC","ACQUIT","CMED","CCLOSE","CONFES","RECONC","CIRCUMS","SPONS","AMNESTY","DEATH","COTHER","PROB","RELAMN","RELOTHR","SAMEVERD","CNOTCR","DENOPR","CEDU","LIFEIMP","IMP","IMP1","IMP12","IMP23","IMP35","IMP510","IMP1015","IMP1525","RESTOL","DISBAT","ARREST","CORRW","SRVRSTR","PUBLW","FINE","DEPR","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G185","G187"
"13",2013,"Article  116",0,"II",24,20,1,0,3,0,0,0,0,2,0,1,8,0,1,NA,0,NA,0,0,10,0,2,7,1,0,0,0,1,0,0,0,0,0,0,0,20,20,0,10,0,0,0,9,0,0,0,0,3,9,7,1,5,0,0,0,0,0,0,0,0,0,0,0,3,3,9,2,0,0,2,0,6,9,3,0,0,0,2,0,2,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"14",2013,"Article  117",0,"II",11,10,0,1,0,0,0,0,0,0,0,0,6,0,0,NA,0,NA,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,10,10,0,10,0,0,0,1,0,0,1,5,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2013,"Article  118",0,"II",67,58,0,0,9,0,1,0,2,2,0,3,26,1,0,NA,0,NA,1,0,25,3,21,1,0,0,0,0,5,0,0,1,0,0,0,0,58,56,1,21,2,0,0,38,0,0,0,8,11,19,19,1,7,0,0,0,0,0,0,3,0,0,1,2,11,2,31,4,0,1,7,1,15,25,10,0,0,2,4,6,7,5,0,2,1,1,4,0,0,0,1,1,3,2,1,0,1,0,1,1,0,0,0
"16",2013,"Article  119",1,"II",256,223,2,1,30,0,8,1,3,11,2,3,108,5,4,NA,1,NA,1,0,86,1,5,35,45,0,0,0,19,0,1,0,0,0,0,0,223,219,4,23,4,0,0,122,0,0,4,36,51,99,30,3,37,1,4,1,1,2,0,10,1,3,0,3,16,4,140,29,0,0,17,7,42,106,48,3,0,0,10,28,33,12,9,12,5,0,18,2,3,3,2,11,14,13,1,0,1,1,0,6,1,0,0
"17",2013,"Article  119",2,"II",2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2013,"Article  120",1,"II",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2013,"Article  120",2,"II",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2013,"Article  120",3,"II",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2013,"Article  121",1,"II",1823,1764,1,31,27,0,3,0,0,1,13,9,925,0,3,NA,0,NA,1,0,809,6,24,66,492,221,0,0,18,0,2,2,0,1,4,0,1764,1702,56,312,12,0,0,1237,0,7,33,300,312,813,266,33,244,3,5,2,3,2,0,17,31,24,21,33,155,86,1138,278,0,0,86,32,454,717,421,46,8,5,113,193,348,191,62,95,97,3,169,1,15,33,30,154,85,78,5,2,36,11,0,68,5,0,0
"22",2013,"Article  121",2,"II",841,810,1,17,13,0,0,0,0,1,6,5,52,0,2,NA,1,NA,0,0,754,1,3,12,79,652,7,0,2,0,0,0,0,0,0,0,810,789,18,86,186,0,0,632,0,3,20,153,145,385,92,12,97,0,6,0,0,1,0,5,9,7,12,18,50,31,573,164,0,1,34,16,213,347,176,20,4,5,56,100,205,122,30,53,53,2,105,3,7,18,17,68,52,50,1,1,20,6,1,61,3,0,0
