"Year","Article","Chapter","ACC","SUSP","STPTOT","STPIL","STPLOC","STPFOR","TOCRT","INDICM","REL","MED","EDU","CL3.1","RECID","GROUP","INTOX","JUVEN","CLOSE","CL1.2","CL10","NODEC","STPSDR"
2023,"Article  109","I",108,59,5,0,5,0,51,50,0,1,0,0,1,1,1,0,8,8,0,52,NA
2023,"Article  110","I",614,175,23,0,23,0,142,141,0,1,0,0,3,11,0,0,9,9,0,449,NA
2023,"Article  110-2","I",128,8,2,0,2,0,3,3,0,0,0,0,0,1,0,0,7,7,0,123,NA
2023,"Article  111","I",1169,469,70,0,70,0,328,315,13,0,0,0,8,7,0,1,37,36,0,770,NA
2023,"Article  111-1","I",3207,1305,262,1,261,0,984,984,0,0,0,0,22,32,2,0,48,44,1,1957,NA
2023,"Article  111-2","I",619,114,28,0,27,0,63,63,0,0,0,0,6,15,0,0,9,8,0,527,NA
2023,"Article  112","I",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,NA
2023,"Article  113","I",33,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,0,32,NA
2023,"Article  114","I",38,5,1,0,1,0,2,2,0,0,0,0,0,0,0,0,3,3,0,35,NA
2023,"Article  114-1","I",159,31,4,0,4,0,11,11,0,0,0,0,1,0,0,0,13,13,0,144,NA
2023,"Article  114-2","I",192,105,2,0,2,0,88,84,0,4,0,0,4,1,0,0,14,14,0,102,NA
2023,"Others","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2023,"Article  115","II",36667,1044,13,0,13,0,765,713,0,52,0,0,180,14,390,5,82822,82782,0,35849,NA
2023,"Article  116","II",2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,NA
2023,"Article  117","II",8,7,0,0,0,0,4,4,0,0,0,0,0,0,0,0,10,9,0,3,NA
2023,"Article  118","II",16,15,0,0,0,0,11,11,0,0,0,0,0,0,3,0,3,3,0,5,NA
2023,"Article  119","II",85,62,1,0,1,0,53,52,0,0,1,0,2,0,10,1,5,3,0,29,NA
2023,"Article  120","II",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,186,0,47,NA
2023,"Article  121","II",1390,1353,22,0,16,0,1057,1027,2,27,1,0,228,19,406,26,53,45,0,303,NA
2023,"Article  122","II",2050,1256,6,0,5,0,1138,1116,3,16,3,0,206,16,144,46,1594,1588,0,900,NA
2023,"Article  123","II",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
2023,"Article  124","II",53,40,1,0,1,0,35,35,0,0,0,0,2,0,11,1,35,35,0,17,NA
2023,"Article  125*","II",17093,14324,11,0,10,0,14209,14047,19,93,50,0,2250,83,2002,228,22248,22236,0,2861,NA
2023,"Article  126","II",1824,1670,0,0,0,0,1661,1639,8,9,5,0,242,3,146,22,749,747,0,161,NA
2023,"Article  126-1","II",2705,2423,6,0,2,0,2243,2220,0,23,0,0,576,4,437,1,929,917,0,444,NA
2023,"Article  127","II",94,53,8,0,8,0,38,37,0,0,1,0,9,10,10,2,24,24,0,48,NA
2023,"Article  128","II",554,295,1,0,0,0,273,260,2,7,4,0,19,0,61,9,1117,1116,0,279,NA
2023,"Article  129","II",483,247,2,0,0,0,235,225,0,10,0,0,40,0,56,1,1261,1261,0,246,NA
2023,"Article  130","II",5,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,1,1,0,3,NA
2023,"Article  131","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
2023,"Article  132*","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA
2023,"Article  133","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
2023,"Article  134","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA
2023,"Article  135","II",184,116,0,0,0,0,92,92,0,0,0,0,10,1,35,1,31,29,0,90,NA
2023,"Article  136","II",8,5,0,0,0,0,5,5,0,0,0,0,0,0,0,1,4,4,0,3,NA
2023,"Article  137","II",27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,27,NA
2023,"Article  138","II",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,7,NA
2023,"Article  139","II",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,17,NA
2023,"Article  140","II",436,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,192,192,0,434,NA
2023,"Article  141","II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
2023,"Article  142","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA
2023,"Article  143","II",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA
2023,"Article  144","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2023,"Article  145","II",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,NA
2023,"Others","II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2023,"Article  146","III",252,175,17,0,17,0,116,116,0,0,0,0,21,64,9,2,124,124,0,119,NA
2023,"Article  146-1","III",72,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,5,5,0,70,NA
2023,"Article  147","III",3,3,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
2023,"Article  148","III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2023,"Article  149","III",147,109,0,0,0,0,82,82,0,0,0,0,2,30,0,0,18,17,0,64,NA
