"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2024,"I",TRUE,"Кримінальні правопорушення проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,2303,631,0,0,1457,350,1,6,26,179,441,569,105,130,463,688,202,559,6,2,1426,29,2,0,0
2024,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",35,4,0,0,29,9,0,0,0,3,4,11,4,7,7,15,3,11,0,0,28,0,1,0,0
2024,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",61,25,0,0,44,8,0,0,0,3,8,17,8,8,20,18,8,18,0,0,41,3,0,0,0
2024,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",22,13,0,0,14,1,0,0,0,1,1,8,3,1,1,13,0,1,0,0,3,11,0,0,0
2024,"I",FALSE,"Державна зрада, ст. 111","111",569,110,0,0,393,143,0,1,1,73,146,143,17,12,53,116,95,180,2,0,392,1,0,0,0
2024,"I",FALSE,"Колабораційна діяльність, ст.111-1","111-1",1113,498,0,0,819,48,0,0,0,58,240,372,64,85,335,458,97,263,1,0,819,0,0,0,0
2024,"I",FALSE,"Пособництво державі-агресору, ст.111-2","111-2",139,35,0,0,35,3,0,0,0,1,14,9,2,9,17,27,1,7,0,0,35,0,0,0,0
2024,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"I",FALSE,"Диверсія, ст. 113","113",127,2,0,0,43,35,0,3,8,11,15,6,0,0,3,5,4,31,3,0,38,5,0,0,0
2024,"I",FALSE,"Шпигунство, ст. 114","114",3,1,0,0,2,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0
2024,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",374,2,0,0,200,65,1,2,16,47,76,47,4,7,38,69,27,101,1,2,199,1,0,0,0
