"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2021,"I",TRUE,"Злочини проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,166,11,0,0,111,8,0,0,0,19,36,36,7,13,11,40,21,48,2,0,106,5,0,0,0
2021,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",17,0,0,0,10,0,0,0,0,0,2,7,0,1,1,3,0,7,0,0,10,0,0,0,0
2021,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",68,7,0,0,49,3,0,0,0,8,10,16,5,10,8,18,10,19,2,0,47,2,0,0,0
2021,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",6,0,0,0,6,0,0,0,0,1,3,1,0,1,1,4,0,2,0,0,5,1,0,0,0
2021,"I",FALSE,"Державна зрада, ст. 111","111",78,6,0,0,50,5,0,0,0,11,22,13,3,1,1,19,11,20,0,0,48,2,0,0,0
2021,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"I",FALSE,"Диверсія, ст. 113","113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"I",FALSE,"Шпигунство, ст. 114","114",4,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0
2021,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,21810,0,2,0,20866,1357,20,58,325,4696,7252,6316,1074,1125,2181,1874,4357,14374,194,67,20711,139,16,3,1
2021,"II",FALSE,"Умисне вбивство, ст. 115","115",1262,0,0,0,907,690,1,3,11,164,285,293,66,84,104,79,167,645,11,5,891,15,1,0,0
2021,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст. 118","118",12,0,1,0,11,4,0,0,0,2,4,2,2,1,4,3,4,4,0,0,11,0,0,0,0
2021,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст. 121","121",1626,0,1,0,1322,560,3,9,33,276,482,390,59,70,158,120,267,905,21,9,1299,21,2,0,0
2021,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст. 122","122",1614,0,0,0,1549,24,1,12,57,517,538,323,56,45,51,154,314,1056,19,6,1537,10,2,1,0
2021,"II",FALSE,"Домашнє насильство, ст. 126-1","126-1",1905,0,0,0,1870,7,0,0,1,141,702,806,121,99,68,84,406,1358,16,6,1862,7,1,0,0
2021,"III",TRUE,"Кримінальні правопорушення проти волі, честі та гідності особи (р. IІІ Кримінального кодексу України )",NA,429,18,0,0,286,111,0,0,1,85,138,54,3,5,12,46,57,176,3,4,265,21,0,0,0
2021,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст. 146","146",382,16,0,0,267,101,0,0,1,82,128,50,3,3,9,37,57,168,3,2,248,19,0,0,0
2021,"III",FALSE,"Насильницьке зникнення, ст. 146-1","146-1",2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0
2021,"III",FALSE,"Захоплення заручників, ст. 147","147",3,0,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0
2021,"III",FALSE,"Торгівля людьми, ст. 149","149",44,2,0,0,12,8,0,0,0,0,6,4,0,2,0,6,0,6,0,0,10,2,0,0,0
2021,"IV",TRUE,"Кримінальні правопорушення проти статевої свободи та статевої недоторканості особи (р. IV Кримінального кодексу України )",NA,417,0,0,0,330,169,2,6,7,110,93,85,13,14,1,27,62,223,12,6,321,9,0,0,0
2021,"IV",FALSE,"Згвалтування, ст. 152","152",253,0,0,0,197,129,1,5,6,61,60,51,5,8,0,12,40,132,8,5,192,5,0,0,0
2021,"IV",FALSE,"Сексуальне насильство, ст. 153","153",44,0,0,0,37,23,1,1,1,6,9,14,3,2,0,4,5,26,2,0,36,1,0,0,0
2021,"IV",FALSE,"Розбещення неповнолітніх, ст. 156","156",104,0,0,0,81,37,0,0,0,18,22,26,7,8,1,10,16,51,3,1,78,3,0,0,0
2021,"V",TRUE,"Кримінальні правопорушення проти виборчих, трудових та інших особистих прав і свобод людини  і громадянина (р. V Кримінального кодексу України )",NA,2440,0,0,0,2394,45,0,4,15,358,1076,750,110,81,210,167,490,1708,20,9,2386,5,3,0,0
2021,"V",FALSE,"Порушення рівноправності громадян залежно від їх расової, національної належності, релігійних переконань, інвалідності та за іншими ознаками, ст. 161","161",10,0,0,0,8,0,0,0,0,4,1,2,0,1,0,3,0,5,0,0,8,0,0,0,0
2021,"V",FALSE,"Ухилення від сплати аліментів на утримання дітей, ст. 164*","164",992,0,0,0,980,0,0,0,0,98,560,317,5,0,32,57,245,673,4,1,978,1,1,0,0
2021,"V",FALSE,"Перешкоджання законній професійній діяльності журналістів, ст. 171*","171",25,0,0,0,21,0,0,0,0,5,10,5,0,1,1,10,0,11,0,0,20,1,0,0,0
2021,"V",FALSE,"Невиплата заробітної плати, стипендії, пенсії чи інших установлених  законом виплат, ст. 175","175",11,0,0,0,11,0,0,0,0,0,4,6,0,1,2,9,0,2,0,0,11,0,0,0,0
2021,"V",FALSE,"Порушення авторського права і суміжних прав, ст. 176","176",5,0,0,0,5,0,0,0,0,2,0,3,0,0,0,1,1,3,0,0,5,0,0,0,0
2021,"V",FALSE,"Порушення прав на винахід, корисну модель, промисловий зразок, топографію інтегральной мікросхеми, сорт рослин, раціоналізаторську пропозицію, ст. 177","177",3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0
2021,"VI",TRUE,"Кримінальні правопорушення проти власності (р. VІ  Кримінального кодексу  України )",NA,47886,8,10,0,44452,4058,120,609,1064,11808,17994,10524,1273,1060,6971,3100,7441,32565,891,455,43764,625,63,17,3
2021,"VI",FALSE,"Крадіжка, ст. 185","185",38168,0,3,0,36280,2414,99,517,852,9348,14760,8809,1051,844,5561,2005,6088,27087,722,378,35754,471,55,15,2
2021,"VI",FALSE,"Грабіж, ст. 186","186",4025,0,3,0,3632,1146,17,79,151,1270,1508,540,39,28,212,156,574,2732,120,50,3549,79,4,0,2
2021,"VI",FALSE,"Розбій, ст. 187","187",1117,8,0,0,854,560,0,10,38,331,321,140,10,4,25,60,139,627,19,9,810,44,0,0,0
2021,"VI",FALSE,"Вимагання, ст. 189","189",362,0,0,0,207,80,2,5,4,69,84,39,3,1,9,40,15,144,7,1,195,12,0,0,0
2021,"VI",FALSE,"Шахрайство, ст. 190","190",3734,0,1,0,3287,146,3,9,45,901,1405,746,85,93,912,430,557,2234,40,26,3249,32,6,2,0
2021,"VI",FALSE,"Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем, ст. 191","191",911,0,2,0,643,5,0,0,0,100,211,224,59,49,255,386,92,165,0,0,639,4,0,0,0
2021,"VI",FALSE,"Умисне знищення або пошкодження майна, ст. 194","194",237,0,1,0,168,40,0,0,1,55,61,34,8,9,14,20,38,108,2,0,165,3,0,0,0
2021,"VI",FALSE,"Самовільне зайняття земельної ділянки та самовільне будівництво, ст. 197-1","197-1",287,0,0,0,253,0,0,0,0,19,47,123,26,38,30,49,69,135,0,0,252,1,0,0,0
2021,"VII",TRUE,"Кримінальні правопорушення у сфері господарської діяльності (р. VІІ Кримінального кодексу України )",NA,1003,1,0,0,818,32,0,0,1,177,294,249,45,52,223,252,127,428,6,5,800,18,0,0,1
2021,"VII",FALSE,"Виготовлення, зберігання, придбання, перевезення, пересилання, ввезення в Україну з метою використання при продажу товарів, збуту або збут підроблених грошей, державних цінних паперів, білетів державної лотереї, марок акцизного податку чи голографічних захисних елементів, ст. 199","199",75,0,0,0,51,14,0,0,0,10,21,16,2,2,4,16,7,27,1,0,49,2,0,0,0
