"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2022,"I",TRUE,"Злочини проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,3015,556,259,0,1455,432,0,0,3,175,401,570,118,188,333,743,204,505,2,1,1427,28,0,0,0
2022,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",63,6,1,0,54,17,0,0,0,3,7,22,7,15,17,28,12,14,0,0,48,6,0,0,0
2022,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",475,10,256,0,113,49,0,0,0,10,13,56,14,20,21,50,27,36,0,0,97,16,0,0,0
2022,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",7,0,0,0,3,1,0,0,0,0,0,1,2,0,1,1,0,2,0,0,2,1,0,0,0
2022,"I",FALSE,"Державна зрада, ст. 111","111",979,197,2,0,515,219,0,0,3,101,186,176,23,26,54,255,74,185,1,0,515,0,0,0,0
2022,"I",FALSE,"Колабораційна діяльність, ст.111-1","111-1",1454,356,0,0,726,99,0,0,0,49,177,298,71,131,233,405,85,236,0,0,726,0,0,0,0
2022,"I",FALSE,"Пособництво державі-агресору, ст.111-2","111-2",108,22,0,0,21,8,0,0,0,1,5,9,3,3,5,17,1,3,0,0,21,0,0,0,0
2022,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",3,1,0,0,3,2,0,0,0,0,1,2,0,0,0,2,1,0,0,0,2,1,0,0,0
2022,"I",FALSE,"Диверсія, ст. 113","113",5,0,3,0,3,3,0,0,0,0,1,1,0,1,0,1,0,2,0,0,1,2,0,0,0
2022,"I",FALSE,"Шпигунство, ст. 114","114",9,2,0,0,2,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0
2022,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",10,0,0,0,6,2,0,0,0,2,1,0,2,1,0,2,1,2,0,1,5,1,0,0,0
2022,"I",FALSE,"Несанкціоноване поширення інформації про направлення, переміщення зброї, озброєння та бойових припасів в Україну, рух, переміщення або розміщення Збройних Сил України чи інших утворених відповідно до законів України військових формувань, вчинене в умовах воєнного або надзвичайного стану, ст.114-2","114-2",143,0,0,0,103,73,0,0,0,13,34,47,6,3,22,36,25,41,1,0,101,2,0,0,0
2022,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,16097,0,2,0,15193,1214,14,50,210,3050,5096,4781,909,1083,1573,1469,3026,10520,128,50,15096,86,11,2,4
