"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2023,"I",TRUE,"Кримінальні правопорушення проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,2373,934,3,0,1685,368,0,0,2,160,422,715,172,214,664,901,252,528,1,3,1663,22,0,0,0
2023,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",45,7,0,0,40,8,0,0,0,0,8,13,6,13,9,15,12,13,0,0,37,3,0,0,0
2023,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",145,50,0,0,109,13,0,0,0,9,13,51,13,23,44,54,15,40,0,0,99,10,0,0,0
2023,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",13,3,0,0,5,1,0,0,0,0,0,4,1,0,0,2,1,2,0,0,3,2,0,0,0
2023,"I",FALSE,"Державна зрада, ст. 111","111",471,128,2,0,315,138,0,0,1,62,96,132,13,11,58,134,51,129,1,0,315,0,0,0,0
2023,"I",FALSE,"Колабораційна діяльність, ст.111-1","111-1",1592,779,1,0,1169,152,0,0,0,81,291,505,130,162,549,681,154,330,1,3,1168,1,0,0,0
2023,"I",FALSE,"Пособництво державі-агресору, ст.111-2","111-2",136,67,0,0,60,11,0,0,0,6,11,25,13,5,23,45,6,9,0,0,60,0,0,0,0
2023,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"I",FALSE,"Диверсія, ст. 113","113",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"I",FALSE,"Шпигунство, ст. 114","114",8,2,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0
2023,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",38,0,0,0,14,3,0,0,0,2,9,3,0,0,2,10,2,2,0,0,14,0,0,0,0
2023,"I",FALSE,"Несанкціоноване поширення інформації про направлення, переміщення зброї, озброєння та бойових припасів в Україну, рух, переміщення або розміщення Збройних Сил України чи інших утворених відповідно до законів України військових формувань, вчинене в умовах воєнного або надзвичайного стану, ст.114-2","114-2",120,4,0,0,102,77,0,0,1,13,26,38,12,12,41,35,24,43,0,0,96,6,0,0,0
2023,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,22046,1,4,0,21080,1322,17,67,261,4161,6877,7012,1232,1453,2318,1880,3975,14997,165,62,20983,81,16,2,2
2023,"II",FALSE,"Умисне вбивство, ст. 115","115",1024,1,0,0,788,653,0,1,5,100,254,286,47,95,79,76,165,539,4,4,783,4,1,0,1
2023,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст. 118","118",15,0,0,0,11,1,0,0,0,1,2,3,1,4,4,2,3,6,0,0,11,0,0,0,0
2023,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст. 121","121",1389,0,3,0,1084,514,1,7,22,202,374,359,56,63,142,92,201,772,9,10,1078,5,1,0,0
2023,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст. 122","122",1234,0,0,0,1128,31,3,9,33,321,365,283,46,68,68,90,197,824,15,2,1123,5,0,0,0
2023,"II",FALSE,"Домашнє насильство, ст. 126-1","126-1",2198,0,0,0,2053,23,0,0,1,159,653,959,145,136,85,89,326,1617,14,6,2041,11,1,0,1
2023,"III",TRUE,"Кримінальні правопорушення проти волі, честі та гідності особи (р. IІІ Кримінального кодексу України )",NA,251,0,0,0,161,66,0,0,2,56,57,38,5,3,20,26,15,118,1,1,157,4,0,0,0
2023,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст. 146","146",211,0,0,0,132,58,0,0,2,46,46,33,3,2,8,17,15,99,1,0,129,3,0,0,0
2023,"III",FALSE,"Насильницьке зникнення, ст. 146-1","146-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"III",FALSE,"Захоплення заручників, ст. 147","147",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2023,"III",FALSE,"Торгівля людьми, ст. 149","149",42,0,0,0,26,8,0,0,0,9,10,5,2,0,10,8,0,18,0,0,25,1,0,0,0
2023,"IV",TRUE,"Кримінальні правопорушення проти статевої свободи та статевої недоторканості особи (р. IV Кримінального кодексу України )",NA,420,0,0,0,329,163,8,13,9,105,102,71,9,12,8,21,50,238,17,3,326,2,1,0,0
2023,"IV",FALSE,"Згвалтування, ст. 152","152",252,0,0,0,195,120,6,13,9,60,66,34,4,3,5,10,28,142,12,3,192,2,1,0,0
2023,"IV",FALSE,"Сексуальне насильство, ст. 153","153",49,0,0,0,45,26,1,0,1,10,15,10,3,5,1,1,6,35,3,0,45,0,0,0,0
2023,"IV",FALSE,"Розбещення неповнолітніх, ст. 156","156",111,0,0,0,84,39,0,0,1,10,28,33,5,7,3,8,17,57,2,0,84,0,0,0,0
2023,"V",TRUE,"Кримінальні правопорушення проти виборчих, трудових та інших особистих прав і свобод людини  і громадянина (р. V Кримінального кодексу України )",NA,2159,3,0,0,2121,43,2,5,13,272,906,780,78,65,136,176,430,1495,16,4,2109,12,0,1,0
2023,"V",FALSE,"Порушення рівноправності громадян залежно від їх расової, національної, регіональної належності, релігійних переконань, інвалідності та за іншими ознаками, ст. 161","161",52,0,0,0,49,7,0,0,0,4,4,17,8,16,11,20,6,23,0,0,44,5,0,1,0
