"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2016,"I",TRUE,"Правопорушення проти основ національної безпеки України (р. І КК України)",NA,121,NA,3,NA,95,16,0,0,0,13,31,38,5,8,9,66,12,17,0,95,0,0,0,0,0
2016,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст.109","109",7,NA,0,NA,7,2,0,0,0,0,2,4,1,0,1,4,2,1,0,7,0,0,0,0,0
2016,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст.110","110",31,NA,1,NA,27,5,0,0,0,5,5,8,2,7,8,12,6,9,0,27,0,0,0,0,0
2016,"I",FALSE,"Екстремістська діяльність, ст. 110-1","110-1",0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"I",FALSE,"Державна зрада, ст.111","111",76,NA,1,NA,59,7,0,0,0,8,22,26,2,1,1,49,4,6,0,59,0,0,0,0,0
2016,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст.112","112",0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"I",FALSE,"Диверсія, ст.113","113",2,NA,1,NA,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0
2016,"I",FALSE,"Шпигунство, ст.114","114",1,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"II",TRUE,"Правопорушення проти життя та здоров'я особи(р. ІІ КК України)",NA,18437,NA,5,NA,17068,1500,27,66,380,4836,5732,4405,776,846,1932,1512,4447,10740,369,16946,110,94,12,0,4
2016,"II",FALSE,"Умисне вбивство, ст.115","115",1453,NA,1,NA,1037,757,2,3,26,258,340,299,37,72,96,82,261,656,38,1015,20,16,2,0,1
2016,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст.118","118",36,NA,1,NA,32,2,0,0,0,7,10,5,6,4,12,2,14,16,0,32,0,0,0,0,0
2016,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст.121","121",1907,NA,3,NA,1492,584,2,5,28,384,526,403,65,79,184,98,358,985,51,1466,24,22,2,0,1
2016,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст.122","122",1561,NA,0,NA,1448,35,1,13,68,532,460,280,43,51,64,143,353,920,32,1444,4,3,0,0,0
2016,"III",TRUE,"Правопорушення проти волі, честі та гідності особи(р. IІІ КК України)",NA,305,NA,0,NA,202,76,0,0,5,88,82,24,1,2,21,27,37,129,9,200,1,0,1,0,0
2016,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст.146","146",253,NA,0,NA,171,64,0,0,5,77,72,17,0,0,3,21,34,112,4,170,0,0,1,0,0
2016,"III",FALSE,"Захоплення заручників, ст.147","147",3,NA,0,NA,3,1,0,0,0,0,1,1,0,1,0,2,0,1,0,3,0,0,0,0,0
