"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2017,"I",TRUE,"Злочини проти основ національної безпеки України (р. І КК України)",NA,151,20,0,NA,107,17,0,0,2,17,31,35,9,13,33,58,22,27,0,106,1,0,0,0,0
2017,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст.109","109",18,1,0,NA,14,4,0,0,0,2,6,5,1,0,1,6,3,5,0,14,0,0,0,0,0
2017,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст.110","110",84,7,0,NA,68,10,0,0,2,11,16,21,7,11,32,39,16,13,0,68,0,0,0,0,0
2017,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст.110-2","110-2",9,0,0,NA,4,0,0,0,0,0,2,1,1,0,0,0,1,3,0,4,0,0,0,0,0
2017,"I",FALSE,"Державна зрада, ст.111","111",45,12,0,NA,25,3,0,0,0,6,9,8,0,2,1,13,3,9,0,25,0,0,0,0,0
2017,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст.112","112",1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"I",FALSE,"Диверсія, ст.113","113",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"I",FALSE,"Шпигунство, ст.114","114",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст.114-1","114-1",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"II",TRUE,"Злочини проти життя та здоров'я особи (р. ІІ КК України)",NA,19582,0,1,NA,18315,1614,19,92,379,5122,6206,4797,842,858,1987,1671,4675,11627,342,18111,190,152,14,3,1
2017,"II",FALSE,"Умисне вбивство, ст.115","115",1426,0,1,NA,1010,815,1,3,14,216,332,327,49,68,111,77,239,656,38,976,33,25,1,2,0
2017,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст.118","118",18,0,0,NA,18,3,0,0,0,3,9,3,1,2,4,5,3,10,0,17,1,0,0,0,0
2017,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст.121","121",1910,0,0,NA,1557,629,1,17,37,379,535,444,68,76,204,99,382,1026,50,1522,33,24,2,0,0
2017,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст.122","122",1714,0,0,NA,1634,52,1,21,56,601,501,354,53,47,66,145,400,1055,34,1621,11,9,2,0,0
2017,"III",TRUE,"Злочини проти волі, честі та гідності особи (р. IІІ КК України)",NA,411,1,1,NA,280,97,0,0,3,125,102,43,4,3,34,54,53,164,9,262,18,11,0,0,0
2017,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст.146","146",310,1,1,NA,221,69,0,0,3,99,81,34,3,1,11,42,44,129,6,211,10,7,0,0,0
2017,"III",FALSE,"Захоплення заручників, ст.147","147",5,0,0,NA,4,4,0,0,0,0,4,0,0,0,0,0,0,4,0,1,3,3,0,0,0
2017,"III",FALSE,"Торгівля людьми або інша незаконна угода щодо людини, ст.149","149",96,0,0,NA,56,24,0,0,0,25,19,9,1,2,19,12,9,34,1,51,5,1,0,0,0
2017,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканості особи (р. IV КК України)",NA,318,0,0,NA,273,135,2,10,17,81,93,56,5,9,2,10,53,192,18,264,4,3,5,1,0
2017,"IV",FALSE,"Згвалтування, ст.152","152",178,0,0,NA,149,87,0,3,7,56,60,21,1,1,0,1,25,116,7,142,3,2,4,1,0
2017,"IV",FALSE,"Насильницьке задоволення статевої пристрасті неприродним способом, ст.153","153",96,0,0,NA,94,56,2,6,7,25,29,22,2,1,2,1,24,61,8,93,1,1,0,1,0
2017,"IV",FALSE,"Розбещення неповнолітніх, ст.156","156",83,0,0,NA,75,31,0,1,6,14,21,23,3,7,0,8,17,46,4,73,1,1,1,0,0
2017,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина(р. V КК України)",NA,1901,0,0,NA,1846,57,0,1,18,450,853,456,46,22,152,132,476,1214,24,1832,13,6,1,2,0
2017,"V",FALSE,"Порушення рівноправності громадян залежно від їх расової, національної належності, релігійних переконань, інвалідності та за іншими ознаками, ст.161","161",4,0,0,NA,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0
2017,"V",FALSE,"Ухилення від сплати аліментів на утримання дітей, ст.164","164",851,0,0,NA,843,0,0,0,0,128,511,201,3,0,37,51,289,495,8,842,1,1,0,0,0
2017,"V",FALSE,"Невиплата заробітної плати, стипендії, пенсії чи інших установлених законом виплат, ст.175","175",11,0,0,NA,11,0,0,0,0,0,3,5,3,0,4,10,1,0,0,11,0,0,0,0,0
2017,"V",FALSE,"Порушення авторського права і суміжних прав, ст.176","176",19,0,0,NA,18,0,0,0,0,2,11,4,0,1,3,15,0,3,0,18,0,0,0,0,0
