"Year","Chapter","IsChp","Article","Art","FS23X1","FS23X2","FS23X3","FS23X4","FS23X5","FS23X6","FS23X7","FS23X8","FS23X9"
2019,"I",TRUE,"Злочини проти основ національної безпеки України",NA,106,0,0,0,0,0,0,4,3
2019,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,268,27,0,21,15,633,5,520,283
2019,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,167,52,12,16,2,11,0,32,12
2019,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,19,0,0,4,0,25,0,32,16
2019,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,44,13,3,3,2,20,1,79,46
2019,"VI",TRUE,"Злочини проти власності",NA,2463,454,87,162,156,462,5,4159,2895
2019,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,321,194,20,0,0,0,0,54,17
2019,"VIII",TRUE,"Злочини проти довкілля",NA,82,28,0,0,0,0,0,20,8
2019,"IX",TRUE,"Злочини проти громадської безпеки",NA,385,223,46,32,0,21,5,247,149
2019,"X",TRUE,"Злочини проти безпеки виробництва",NA,14,0,0,0,0,0,0,1,0
2019,"XI",TRUE,"Злочини проти безпеки руху та експлуатації транспорту",NA,207,43,1,18,12,359,19,288,165
2019,"XII",TRUE,"Злочини проти громадського порядку та моральності",NA,396,51,6,55,9,151,0,146,80
2019,"XIII",TRUE,"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення",NA,422,275,9,24,0,16,76,790,491
2019,"XIV",TRUE,"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації",NA,65,28,0,0,0,0,0,12,3
2019,"XV",TRUE,"Злочини проти авторитету органів державної влади, органів місцевого самоврядування, об'єднань громадян та злочини проти журналістів",NA,338,107,25,25,0,55,2,225,141
2019,"XVI",TRUE,"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку",NA,23,9,0,0,0,0,0,8,3
2019,"XVII",TRUE,"Злочини у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг",NA,438,121,17,0,0,10,0,56,8
2019,"XVIII",TRUE,"Злочини проти правосуддя",NA,28,5,0,1,0,6,0,162,135
2019,"XIX",TRUE,"Злочини проти встановленого порядку несення військової служби (військові злочини)",NA,5,0,0,0,0,9,0,54,16
2019,"XX",TRUE,"Злочини проти миру, безпеки людства та міжнародного правопорядку",NA,6,6,0,0,0,0,0,0,0
