"Year","Chapter","IsChp","Article","Art","FS23X1","FS23X2","FS23X3","FS23X4","FS23X5","FS23X6","FS23X7","FS23X8","FS23X9"
2023,"VII",FALSE,"Незаконне використання з метою отримання прибутку гуманітарної допомоги, благодійних пожертв або безоплатної допомоги, ст.201-2","201-2",36,22,3,0,0,0,0,0,0
2023,"VII",FALSE,"Незаконна діяльність з організації або проведення азартних ігор, лотерей, ст.203-2","203-2",65,46,5,0,0,0,0,3,1
2023,"VII",FALSE,"Незаконне виготовлення, зберігання, збут або транспортування з метою збуту підакцизних  товарів, ст. 204","204",104,84,4,1,0,0,0,3,1
2023,"VII",FALSE,"Підроблення документів, які подаються для проведення державної реєстрації юридичної особи та фізичних осіб-підприємців, ст. 205-1","205-1",10,2,0,0,0,0,0,1,0
2023,"VII",FALSE,"Протиправне заволодіння майном підприємства, установи, організації,  ст. 206-2","206-2",3,1,0,0,0,0,0,0,0
2023,"VII",FALSE,"Легалізація (відмивання) майна, одержаного злочинним шляхом, ст. 209","209",149,94,4,1,0,0,0,24,6
2023,"VII",FALSE,"Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням, ст. 210","210",0,0,0,0,0,0,0,0,0
2023,"VII",FALSE,"Видання нормативно-правових актів, що зменшують надходження бюджету або збільшують витрати бюджету всупереч закону, ст. 211","211",0,0,0,0,0,0,0,0,0
2023,"VII",FALSE,"Ухилення від сплати податків, зборів (обов'язкових платежів), ст. 212","212",23,16,0,0,0,0,0,0,0
2023,"VII",FALSE,"Порушення порядку здійснення операцій з металобрухтом, ст.213","213",0,0,0,0,0,0,0,0,0
2023,"VII",FALSE,"Доведення банку до неплатоспроможності, ст. 218-1","218-1",0,0,0,0,0,0,0,0,0
2023,"VII",FALSE,"Порушення порядку ведення бази даних про вкладників або порядку формування звітності, ст. 220-1","220-1",0,0,0,0,0,0,0,0,0
2023,"VII",FALSE,"Фальсифікація фінансових документів та звітності фінансової організації, приховування неплатоспроможності фінансової установи або підстав для відкликання (анулювання) ліцензії фінансової установи, ст. 220-2","220-2",3,0,0,0,0,0,0,3,0
2023,"VII",FALSE,"Шахрайство з фінансовими ресурсами, ст. 222","222",0,0,0,0,0,0,0,0,0
2023,"VII",FALSE,"Підроблення документів, які подаються для реєстрації випуску цінних паперів, ст. 223-1","223-1",0,0,0,0,0,0,0,0,0
2023,"VII",FALSE,"Незаконна приватизація державного, комунального майна, ст. 233","233",1,0,0,0,0,0,0,0,0
2023,"VIII",TRUE,"Кримінальні правопорушення проти довкілля (р. VІІІ Кримінального кодексу України )",NA,180,68,0,18,0,1,0,62,31
2023,"VIII",FALSE,"Порушення правил охорони або використання надр, незаконне видобування корисних копалин, ст.240","240",29,20,0,0,0,0,0,3,0
2023,"VIII",FALSE,"Незаконна порубка або незаконне перевезення, зберігання, збут лісу, ст. 246","246",123,47,0,18,0,1,0,47,21
2023,"IX",TRUE,"Кримінальні правопорушення проти громадської безпеки (р. IX Кримінального кодексу України )",NA,569,408,58,29,0,28,2,193,116
2023,"IX",FALSE,"Створення злочинної організації, ст. 255","255",307,292,51,23,0,0,0,18,12
2023,"IX",FALSE,"Сприяння учасникам злочинних організацій та укриття їх злочинної  діяльності, ст. 256","256",0,0,0,0,0,0,0,0,0
2023,"IX",FALSE,"Бандитизм, ст. 257","257",26,23,0,0,0,0,0,6,3
2023,"IX",FALSE,"Терористичний акт, ст. 258","258",23,5,0,0,0,0,0,0,0
2023,"IX",FALSE,"Втягнення у вчинення терористичного акту, ст. 258-1","258-1",0,0,0,0,0,0,0,0,0
2023,"IX",FALSE,"Публічні заклики до вчинення терористичного акту, ст. 258-2","258-2",0,0,0,0,0,0,0,0,0
2023,"IX",FALSE,"Створення терористичної групи чи терористичної організації, ст. 258-3","258-3",20,14,0,0,0,0,0,4,1
2023,"IX",FALSE,"Сприяння вчиненню терористичного акту, проходження навчання тероризму, ст. 258-4","258-4",0,0,0,0,0,0,0,0,0
2023,"IX",FALSE,"Фінансування тероризму, ст. 258-5","258-5",7,4,3,0,0,0,0,0,0
2023,"IX",FALSE,"Перетинання державного кордону України з терористичною метою, ст. 258-6","258-6",0,0,0,0,0,0,0,0,0
2023,"IX",FALSE,"Завідомо неправдиве повідомлення про загрозу безпеці громадян, знищення чи пошкодження об’єктів  власності, ст. 259","259",0,0,0,0,0,0,0,3,1
2023,"IX",FALSE,"Створення не передбачених законом воєнізованих або збройних формувань, ст. 260","260",23,0,0,0,0,0,0,0,0
2023,"IX",FALSE,"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживанням службовим становищем, ст. 262","262",11,1,0,0,0,0,0,0,0
2023,"IX",FALSE,"Незаконне поводження зі зброєю, бойовими припасами або вибуховими  речовинами, ст. 263","263",166,82,5,7,0,28,2,137,74
2023,"IX",FALSE,"Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або фальсифікація, незаконне видалення чи зміна її маркування, або незаконне виготовлення бойових припасів, вибухових речовин чи вибухових  пристроїв, ст. 263-1","263-1",4,3,0,0,0,1,0,6,2
2023,"IX",FALSE,"Недбале зберігання вогнепальної зброї або бойових припасів, ст. 264","264",0,0,0,0,0,0,0,0,0
2023,"IX",FALSE,"Незаконне поводження з радіоактивними матеріалами, ст. 265","265",0,0,0,0,0,0,0,0,0
2023,"IX",FALSE,"Порушення правил поводження з вибуховими, легкозаймистими та їдкими речовинами або радіоактивними матеріалами, ст. 267","267",0,0,0,0,0,0,0,0,0
2023,"X",TRUE,"Кримінальні правопорушення проти безпеки виробництва (р. X Кримінального кодексу України )",NA,5,3,0,0,0,0,0,3,0
