"Year","Chapter","IsChp","Article","Art","FS23X1","FS23X2","FS23X3","FS23X4","FS23X5","FS23X6","FS23X7","FS23X8","FS23X9"
2016,"I",TRUE,"Злочини проти основ національної безпеки України",NA,26,3,0,0,0,0,0,2,1
2016,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,354,14,1,32,26,1032,1,694,397
2016,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,131,37,3,0,0,8,0,35,25
2016,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,19,1,0,2,0,49,1,33,21
2016,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,44,2,0,1,2,30,1,75,51
2016,"VI",TRUE,"Злочини проти власності",NA,3054,201,26,407,241,1223,8,5056,3514
2016,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,147,65,13,0,0,0,0,47,18
2016,"VIII",TRUE,"Злочини проти довкілля",NA,102,13,0,7,2,2,0,13,5
2016,"IX",TRUE,"Злочини проти громадської безпеки",NA,224,87,17,1,1,61,2,213,118
2016,"X",TRUE,"Злочини проти безпеки виробництва",NA,5,0,0,0,0,1,0,1,0
2016,"XI",TRUE,"Злочини проти безпеки руху та експлуатації транспорту",NA,362,41,3,50,50,578,5,439,262
2016,"XII",TRUE,"Злочини проти громадського порядку та моральності",NA,307,23,0,69,6,225,0,150,78
2016,"XIII",TRUE,"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення",NA,156,59,6,4,1,45,47,639,413
2016,"XIV",TRUE,"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації",NA,30,9,0,0,0,0,0,12,8
2016,"XV",TRUE,"Злочини проти авторитету органів державної влади, органів місцевого самоврядування та об'єднань громадян",NA,206,64,8,4,0,82,0,163,91
2016,"XVI",TRUE,"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку",NA,11,1,0,0,0,0,0,2,1
2016,"XVII",TRUE,"Злочини у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг",NA,278,48,6,0,0,1,0,37,8
2016,"XVIII",TRUE,"Злочини проти правосуддя",NA,41,2,0,0,0,16,0,277,241
2016,"XIX",TRUE,"Злочини проти встановленого порядку несення військової служби (військові злочини)",NA,15,0,0,0,0,16,0,25,15
2016,"XX",TRUE,"Злочини проти миру, безпеки людства та міжнародного правопорядку",NA,9,0,0,0,0,0,0,1,1
