"Year","Chapter","IsChp","Article","Art","FS23X1","FS23X2","FS23X3","FS23X4","FS23X5","FS23X6","FS23X7","FS23X8","FS23X9"
2018,"I",TRUE,"Злочини проти основ національної безпеки України",NA,52,2,0,0,0,0,0,2,1
2018,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,345,67,6,35,7,659,4,526,267
2018,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,170,75,7,5,0,12,0,45,17
2018,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,10,0,0,0,1,19,2,26,12
2018,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,49,14,1,1,1,30,0,82,50
2018,"VI",TRUE,"Злочини проти власності",NA,2621,493,115,270,170,600,6,4552,3090
2018,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,344,224,47,2,0,0,0,53,15
2018,"VIII",TRUE,"Злочини проти довкілля",NA,86,8,0,3,0,0,0,34,17
2018,"IX",TRUE,"Злочини проти громадської безпеки",NA,397,268,64,9,0,49,2,264,150
2018,"X",TRUE,"Злочини проти безпеки виробництва",NA,1,1,0,0,0,0,0,2,0
2018,"XI",TRUE,"Злочини проти безпеки руху та експлуатації транспорту",NA,263,49,12,32,20,398,12,342,203
2018,"XII",TRUE,"Злочини проти громадського порядку та моральності",NA,408,60,2,56,12,171,2,151,81
2018,"XIII",TRUE,"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення",NA,377,225,37,9,0,29,80,836,538
2018,"XIV",TRUE,"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації",NA,40,19,6,0,0,1,0,15,3
2018,"XV",TRUE,"Злочини проти авторитету органів державної влади, органів місцевого самоврядування, об'єднань громадян та злочини проти журналістів",NA,275,99,13,8,2,72,3,238,149
2018,"XVI",TRUE,"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку",NA,44,28,0,0,0,0,0,11,2
2018,"XVII",TRUE,"Злочини у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг",NA,360,84,2,0,0,0,0,60,12
2018,"XVIII",TRUE,"Злочини проти правосуддя",NA,45,1,0,1,0,10,0,196,168
2018,"XIX",TRUE,"Злочини проти встановленого порядку несення військової служби (військові злочини)",NA,4,0,0,0,0,12,0,63,19
2018,"XX",TRUE,"Злочини проти миру, безпеки людства та міжнародного правопорядку",NA,10,5,0,0,0,0,0,0,0
