"Year","Chapter","IsChp","Article","Art","FS23X1","FS23X2","FS23X3","FS23X4","FS23X5","FS23X6","FS23X7","FS23X8","FS23X9"
2017,"I",TRUE,"Злочини проти основ національної безпеки України",NA,23,5,0,0,0,0,0,4,1
2017,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,331,30,6,33,7,825,6,647,344
2017,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,157,37,0,3,0,8,0,26,10
2017,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,8,0,0,2,0,26,0,27,18
2017,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,41,5,0,4,0,25,2,70,40
2017,"VI",TRUE,"Злочини проти власності",NA,3037,325,52,359,283,828,12,4959,3528
2017,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,288,139,23,4,0,1,0,69,25
2017,"VIII",TRUE,"Злочини проти довкілля",NA,98,24,0,0,0,0,0,26,13
2017,"IX",TRUE,"Злочини проти громадської безпеки",NA,286,128,27,9,0,50,5,276,150
2017,"X",TRUE,"Злочини проти безпеки виробництва",NA,2,0,0,0,0,0,0,2,0
2017,"XI",TRUE,"Злочини проти безпеки руху та експлуатації транспорту",NA,316,26,0,47,33,476,15,396,248
2017,"XII",TRUE,"Злочини проти громадського порядку та моральності",NA,350,36,0,60,12,153,0,145,86
2017,"XIII",TRUE,"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення",NA,212,99,37,9,0,28,77,742,455
2017,"XIV",TRUE,"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації",NA,37,10,0,0,0,0,0,5,2
2017,"XV",TRUE,"Злочини проти авторитету органів державної влади, органів місцевого самоврядування, об'єднань громадян та злочини проти журналістів",NA,265,73,1,16,7,78,0,230,143
2017,"XVI",TRUE,"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку",NA,19,2,2,0,0,0,0,9,4
2017,"XVII",TRUE,"Злочини у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг",NA,346,69,4,0,0,3,0,59,8
2017,"XVIII",TRUE,"Злочини проти правосуддя",NA,45,9,0,1,0,11,0,275,237
2017,"XIX",TRUE,"Злочини проти встановленого порядку несення військової служби (військові злочини)",NA,24,0,0,0,0,23,0,22,13
2017,"XX",TRUE,"Злочини проти миру, безпеки людства та міжнародного правопорядку",NA,5,1,0,0,0,0,0,0,0
