"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2024,"I",TRUE,"Кримінальні правопорушення проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,2539,2557,1,0,3102,493,0,1,1,367,945,1225,286,277,1076,2017,272,803,3,7,3034,68,0,0,0
2024,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",26,18,0,0,33,10,0,0,0,0,6,19,2,6,10,25,1,6,1,0,33,0,0,0,0
2024,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",105,166,0,0,168,20,0,0,0,11,34,67,18,38,58,119,18,31,0,0,140,28,0,0,0
2024,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",23,13,0,0,20,7,0,0,0,0,2,15,2,1,7,17,0,3,0,0,17,3,0,0,0
2024,"I",FALSE,"Державна зрада, ст. 111","111",543,791,0,0,883,211,0,1,1,152,325,297,59,48,179,593,115,173,1,1,857,26,0,0,0
2024,"I",FALSE,"Колабораційна діяльність, ст.111-1","111-1",1738,1720,1,0,1980,198,0,0,0,189,591,823,190,187,842,1277,139,560,0,4,1979,1,0,0,0
2024,"I",FALSE,"Пособництво державі-агресору, ст.111-2","111-2",192,175,0,0,221,38,0,0,0,12,65,87,32,25,63,160,20,40,0,1,221,0,0,0,0
2024,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"I",FALSE,"Диверсія, ст. 113","113",4,0,0,0,3,3,0,0,0,2,0,1,0,0,1,0,0,3,0,0,3,0,0,0,0
2024,"I",FALSE,"Шпигунство, ст. 114","114",2,6,0,0,7,4,0,0,0,0,3,2,2,0,0,3,0,3,1,0,1,6,0,0,0
2024,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",84,1,0,0,85,23,0,0,0,21,29,27,4,4,24,44,7,33,0,1,83,2,0,0,0
2024,"I",FALSE,"Несанкціоноване поширення інформації про направлення, переміщення зброї, озброєння та бойових припасів в Україну, рух, переміщення або розміщення Збройних Сил України чи інших утворених відповідно до законів України військових формувань, вчинене в умовах воєнного або надзвичайного стану, ст.114-2","114-2",46,14,0,0,64,35,0,0,0,11,12,26,8,7,16,25,10,29,0,0,61,3,0,0,0
2024,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,1158,56,7,0,2309,442,7,33,46,448,724,770,122,159,261,422,375,1472,25,15,2288,20,1,1,0
2024,"II",FALSE,"Умисне вбивство, ст. 115","115",60,34,2,0,332,245,0,3,6,54,102,122,17,28,28,50,56,220,4,2,325,7,0,1,0
