"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2017,"I",TRUE,"Злочини проти основ національної безпеки України",NA,94,580,3,NA,302,20,0,1,0,19,69,132,39,42,100,257,18,26,1,290,12,11,0,0,0
2017,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,2409,39,28,NA,3734,582,6,23,104,1125,1226,908,171,171,404,638,865,2146,85,3670,58,41,6,1,1
2017,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,109,5,4,NA,198,78,0,0,1,83,66,42,3,3,13,53,35,108,2,186,12,5,0,0,0
2017,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,28,0,1,NA,79,38,0,1,5,26,26,18,2,1,1,10,14,50,5,76,3,0,0,0,0
2017,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,259,1,5,NA,366,27,1,1,4,106,153,83,11,7,30,104,70,184,8,361,4,1,1,0,0
2017,"VI",TRUE,"Злочини проти власності",NA,8415,64,156,NA,12165,1898,58,255,563,4580,4352,1948,236,173,1377,1453,2331,7869,512,11929,220,138,16,2,2
2017,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,697,13,25,NA,863,30,0,0,4,180,329,277,37,36,199,442,162,255,4,848,15,6,0,0,0
2017,"VIII",TRUE,"Злочини проти довкілля",NA,202,0,0,NA,262,5,0,0,1,78,84,73,15,11,4,52,66,144,0,261,1,1,0,0,0
2017,"IX",TRUE,"Злочини проти громадської безпеки",NA,1049,392,25,NA,1535,276,1,2,17,359,588,452,70,46,116,485,324,698,28,1501,32,21,2,0,1
2017,"X",TRUE,"Злочини проти безпеки виробництва",NA,115,0,1,NA,114,0,0,0,0,16,32,39,14,13,11,72,26,15,1,114,0,0,0,0,0
2017,"XI",TRUE,"Злочини проти безпеки руху та експлуатації транспорту",NA,2857,1,26,NA,3386,247,4,29,77,1177,994,785,148,172,153,808,838,1691,49,3328,57,38,1,0,2
2017,"XII",TRUE,"Злочини проти громадського порядку та моральності",NA,497,5,52,NA,820,83,3,14,27,392,232,129,16,7,146,194,154,451,21,800,19,12,1,0,0
2017,"XIII",TRUE,"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення",NA,2072,0,20,NA,2734,293,0,4,31,882,1245,502,39,31,247,327,669,1674,64,2703,28,20,3,0,0
2017,"XIV",TRUE,"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації",NA,124,0,4,NA,159,11,0,0,1,78,38,34,5,3,6,41,44,69,5,149,10,5,0,0,0
2017,"XV",TRUE,"Злочини проти авторитету органів державної влади, органів місцевого самоврядування, об'єднань громадян та злочини проти журналістів",NA,807,37,65,NA,1182,127,0,4,18,341,405,305,54,55,250,469,212,480,21,1119,61,42,2,1,1
2017,"XVI",TRUE,"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку",NA,58,1,0,NA,65,3,0,0,1,26,25,12,1,0,21,40,7,18,0,65,0,0,0,0,0
2017,"XVII",TRUE,"Злочини у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг",NA,1040,63,62,NA,1440,59,0,0,0,206,480,524,129,101,319,1260,98,81,1,1434,6,4,0,1,0
2017,"XVIII",TRUE,"Злочини проти правосуддя",NA,355,4,12,NA,507,52,0,0,3,170,188,106,20,20,68,123,82,291,11,502,3,2,2,0,0
2017,"XIX",TRUE,"Злочини проти встановленого порядку несення військової служби (військові злочини)",NA,865,13,7,NA,1145,95,0,0,0,514,417,206,8,0,4,131,461,546,7,1145,0,0,0,0,0
2017,"XX",TRUE,"Злочини проти миру, безпеки людства та міжнародного правопорядку",NA,13,20,0,NA,21,1,0,0,0,5,5,4,6,1,1,11,1,9,0,11,10,10,0,0,0
