"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2018,"I",TRUE,"Злочини проти основ національної безпеки України",NA,183,435,0,NA,215,22,0,0,0,17,60,95,18,25,81,126,51,37,1,209,5,5,1,0,0
2018,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,2154,40,16,NA,3495,489,13,29,143,1076,1120,798,137,179,387,637,737,2032,89,3436,53,40,6,1,1
2018,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,140,5,2,NA,283,61,0,2,3,86,119,63,10,0,19,95,40,143,5,263,19,11,1,0,0
2018,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,33,0,2,NA,82,31,0,3,2,37,20,17,2,1,1,7,22,52,1,81,1,0,0,0,0
2018,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,276,1,2,NA,370,17,0,0,4,94,155,95,8,14,29,97,76,189,8,368,2,2,0,0,0
2018,"VI",TRUE,"Злочини проти власності",NA,7456,46,158,NA,11240,1450,43,212,416,3681,4294,2148,276,170,1297,1591,2205,7021,423,11002,212,140,26,1,1
2018,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,833,14,13,NA,924,20,0,0,1,214,352,281,42,34,197,507,135,275,7,911,13,8,0,0,0
2018,"VIII",TRUE,"Злочини проти довкілля",NA,227,0,0,NA,278,1,0,0,3,80,96,72,12,15,6,31,75,164,8,278,0,0,0,0,0
2018,"IX",TRUE,"Злочини проти громадської безпеки",NA,1094,321,27,NA,1496,208,1,2,9,353,546,487,51,47,110,435,325,711,25,1439,51,38,6,0,0
2018,"X",TRUE,"Злочини проти безпеки виробництва",NA,180,0,5,NA,174,0,0,0,0,14,61,62,21,16,14,102,56,16,0,173,1,1,0,0,0
2018,"XI",TRUE,"Злочини проти безпеки руху та експлуатації транспорту",NA,2711,0,16,NA,3257,186,2,26,74,1034,1029,730,165,197,169,802,825,1589,41,3211,45,24,1,0,0
2018,"XII",TRUE,"Злочини проти громадського порядку та моральності",NA,639,3,8,NA,993,79,2,13,41,459,304,145,17,12,102,199,202,567,25,982,10,9,1,0,0
2018,"XIII",TRUE,"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення",NA,2064,1,20,NA,2904,357,0,4,35,846,1330,620,50,19,314,364,714,1779,47,2870,32,15,2,1,0
2018,"XIV",TRUE,"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації",NA,119,1,2,NA,171,4,0,0,0,79,43,33,6,10,9,46,45,80,0,162,8,4,1,0,0
2018,"XV",TRUE,"Злочини проти авторитету органів державної влади, органів місцевого самоврядування, об'єднань громадян та злочини проти журналістів",NA,882,40,25,NA,1247,108,0,2,10,339,442,353,61,40,255,473,242,513,19,1199,46,32,2,4,0
2018,"XVI",TRUE,"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку",NA,82,0,1,NA,118,8,0,0,0,42,45,24,4,3,28,68,13,35,2,117,1,1,0,0,0
2018,"XVII",TRUE,"Злочини у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг",NA,1347,63,71,NA,1783,30,0,0,0,216,559,695,166,147,422,1490,163,126,4,1769,13,10,1,0,0
2018,"XVIII",TRUE,"Злочини проти правосуддя",NA,294,2,6,NA,415,35,0,0,0,126,174,90,15,10,54,122,62,220,11,410,5,1,0,1,0
2018,"XIX",TRUE,"Злочини проти встановленого порядку несення військової служби (військові злочини)",NA,1797,7,16,NA,2160,51,0,0,0,1003,757,377,23,0,16,195,934,1020,11,2158,2,1,0,0,0
2018,"XX",TRUE,"Злочини проти миру, безпеки людства та міжнародного правопорядку",NA,24,10,0,NA,17,2,0,0,0,3,6,5,2,1,0,5,1,11,0,12,5,5,0,0,0
