"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2023,"I",TRUE,"Кримінальні правопорушення проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,2133,2088,1,0,2607,501,0,0,1,240,886,1006,229,245,817,1749,258,597,3,0,2562,45,0,1,0
2023,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",42,24,0,0,48,12,0,0,0,0,9,23,5,11,12,29,9,10,0,0,45,3,0,0,0
2023,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",188,185,0,0,222,17,0,0,0,16,58,87,24,37,62,125,49,47,1,0,190,32,0,1,0
2023,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",14,8,0,0,15,3,0,0,0,0,3,8,3,1,4,8,0,7,0,0,11,4,0,0,0
2023,"I",FALSE,"Державна зрада, ст. 111","111",565,846,0,0,883,193,0,0,0,117,386,314,31,35,197,616,70,196,1,0,882,1,0,0,0
2023,"I",FALSE,"Колабораційна діяльність, ст.111-1","111-1",1324,1127,0,0,1472,240,0,0,1,110,450,593,162,156,572,960,168,343,1,0,1472,0,0,0,0
2023,"I",FALSE,"Пособництво державі-агресору, ст.111-2","111-2",178,158,1,0,205,42,0,0,0,6,50,85,26,38,60,153,12,40,0,0,205,0,0,0,0
2023,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"I",FALSE,"Диверсія, ст. 113","113",23,2,0,0,3,1,0,0,0,0,1,2,0,0,0,3,0,0,0,0,3,0,0,0,0
2023,"I",FALSE,"Шпигунство, ст. 114","114",1,3,0,0,4,3,0,0,0,1,2,1,0,0,1,2,0,2,0,0,0,4,0,0,0
2023,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",20,1,0,0,20,7,0,0,0,4,6,9,0,1,0,17,1,2,0,0,20,0,0,0,0
2023,"I",FALSE,"Несанкціоноване поширення інформації про направлення, переміщення зброї, озброєння та бойових припасів в Україну, рух, переміщення або розміщення Збройних Сил України чи інших утворених відповідно до законів України військових формувань, вчинене в умовах воєнного або надзвичайного стану, ст.114-2","114-2",20,1,0,0,49,34,0,0,0,6,16,22,1,4,11,18,10,21,0,0,46,3,0,0,0
2023,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,1120,47,5,1,2075,426,7,14,25,447,666,677,121,118,187,422,374,1250,17,12,2059,15,1,0,0
2023,"II",FALSE,"Умисне вбивство, ст. 115","115",52,43,2,0,402,270,0,1,1,68,107,166,30,29,29,73,86,235,4,4,394,7,1,0,0
2023,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст. 118","118",1,0,0,0,6,0,0,0,0,0,3,0,1,2,3,2,2,2,0,0,6,0,0,0,0
2023,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст. 121","121",80,11,3,0,320,124,0,2,6,65,105,112,12,18,20,51,59,203,5,2,317,3,0,0,0
2023,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст. 122","122",160,4,0,0,265,4,0,4,4,77,81,63,19,17,6,58,41,163,1,2,263,2,0,0,0
2023,"II",FALSE,"Домашнє насильство, ст. 126-1","126-1",55,0,0,1,127,3,0,0,1,7,41,61,10,7,4,4,23,99,1,0,127,0,0,0,0
2023,"III",TRUE,"Кримінальні правопорушення проти волі, честі та гідності особи (р. IІІ Кримінального кодексу України )",NA,116,25,0,1,180,42,0,0,1,48,76,49,2,4,14,54,33,92,0,1,169,11,0,0,0
2023,"III",FALSE,"Незаконне позбавлення волі або викрадення людини, ст. 146","146",83,25,0,0,131,33,0,0,1,37,58,33,1,1,2,39,29,62,0,1,123,8,0,0,0
2023,"III",FALSE,"Насильницьке зникнення, ст. 146-1","146-1",3,0,0,0,6,0,0,0,0,1,3,2,0,0,0,6,0,0,0,0,6,0,0,0,0
