"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2021,"I",TRUE,"Злочини проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,273,437,2,0,306,10,0,0,0,22,94,137,30,23,120,173,55,78,0,0,299,7,0,0,0
2021,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",17,22,0,0,27,0,0,0,0,0,6,17,3,1,2,19,4,4,0,0,26,1,0,0,0
2021,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",218,106,1,0,223,6,0,0,0,18,57,107,23,18,106,108,45,70,0,0,218,5,0,0,0
2021,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",15,4,0,0,12,0,0,0,0,0,4,5,2,1,3,8,3,1,0,0,12,0,0,0,0
2021,"I",FALSE,"Державна зрада, ст. 111","111",28,339,0,0,71,3,0,0,0,4,32,27,5,3,12,64,4,3,0,0,68,3,0,0,0
2021,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"I",FALSE,"Диверсія, ст. 113","113",0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0
2021,"I",FALSE,"Шпигунство, ст. 114","114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"I",FALSE,"Перешкоджання законній діяльності Збройних Сил України та інших військових формувань, ст. 114-1","114-1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"II",TRUE,"Кримінальні правопорушення проти життя та здоров'я особи (р. ІІ Кримінального кодексу України )",NA,1913,49,15,0,3188,425,6,26,87,789,1113,823,159,185,327,593,588,1971,30,6,3136,49,3,8,0
2021,"II",FALSE,"Умисне вбивство, ст. 115","115",59,47,3,0,411,235,0,3,6,87,161,92,26,36,28,69,75,262,5,0,388,23,0,6,0
2021,"II",FALSE,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання злочинця, ст. 118","118",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2021,"II",FALSE,"Умисне тяжке тілесне ушкодження, ст. 121","121",97,10,5,0,424,153,0,2,18,109,155,105,19,16,34,56,91,272,3,2,413,10,1,1,0
2021,"II",FALSE,"Умисне середньої тяжкості тілесне ушкодження, ст. 122","122",271,6,2,0,381,8,3,8,21,130,119,80,12,8,20,83,58,235,4,1,379,2,0,0,0
