"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2019,"I",TRUE,"Злочини проти основ національної безпеки України",NA,240,360,3,NA,216,11,0,0,0,15,49,102,25,25,118,100,65,51,0,215,1,1,0,0,0
2019,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,1936,38,10,NA,3101,497,10,38,104,910,1027,741,124,147,327,582,698,1751,70,3056,40,28,5,0,1
2019,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,135,2,2,NA,232,47,0,2,3,58,103,59,4,3,23,59,23,143,7,216,16,8,0,1,0
2019,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,44,0,0,NA,92,44,2,0,3,30,22,28,3,4,1,7,20,56,9,84,8,7,0,1,0
2019,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,250,1,4,NA,324,29,0,1,8,90,138,72,7,8,25,77,60,181,6,323,0,0,1,0,0
2019,"VI",TRUE,"Злочини проти власності",NA,7133,28,133,NA,10312,1283,48,207,337,3263,3899,2041,297,220,1241,1657,1955,6308,392,10082,215,136,15,6,1
2019,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,849,10,63,NA,933,18,0,0,0,174,332,326,58,43,203,539,121,271,2,924,9,5,0,0,0
2019,"VIII",TRUE,"Злочини проти довкілля",NA,154,0,6,NA,199,0,0,0,0,44,65,63,11,16,5,49,34,114,2,199,0,0,0,0,0
2019,"IX",TRUE,"Злочини проти громадської безпеки",NA,983,95,26,NA,1257,202,0,5,10,287,473,395,55,32,67,370,245,627,15,1235,22,13,0,0,0
2019,"X",TRUE,"Злочини проти безпеки виробництва",NA,201,0,3,NA,207,0,0,0,0,11,71,82,23,20,18,119,55,33,0,207,0,0,0,0,0
2019,"XI",TRUE,"Злочини проти безпеки руху та експлуатації транспорту",NA,2299,1,21,NA,2822,186,2,17,63,868,867,679,134,192,161,729,665,1404,24,2787,34,14,1,1,0
2019,"XII",TRUE,"Злочини проти громадського порядку та моральності",NA,562,0,11,NA,886,79,1,9,29,406,275,139,14,13,110,191,197,478,20,866,19,10,1,1,1
2019,"XIII",TRUE,"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення",NA,2082,0,21,NA,2690,325,0,4,28,835,1177,567,46,33,297,395,687,1570,38,2645,43,24,2,2,1
2019,"XIV",TRUE,"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації",NA,217,0,2,NA,249,8,0,0,1,128,47,49,15,9,15,55,76,117,1,239,10,6,0,0,0
2019,"XV",TRUE,"Злочини проти авторитету органів державної влади, органів місцевого самоврядування, об'єднань громадян та злочини проти журналістів",NA,1003,41,47,NA,1406,92,0,0,17,365,512,375,65,72,258,542,238,611,15,1367,33,19,6,0,0
2019,"XVI",TRUE,"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку",NA,110,0,4,NA,117,3,0,0,2,48,46,21,0,0,34,78,11,27,1,116,1,1,0,0,0
2019,"XVII",TRUE,"Злочини у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг",NA,1250,53,84,NA,1776,34,0,0,0,220,543,705,164,144,357,1502,110,163,1,1769,7,5,0,0,0
2019,"XVIII",TRUE,"Злочини проти правосуддя",NA,234,1,9,NA,346,21,0,0,2,90,151,75,16,12,55,98,64,182,2,344,2,1,0,0,0
2019,"XIX",TRUE,"Злочини проти встановленого порядку несення військової служби (військові злочини)",NA,1406,2,122,NA,1715,77,0,0,0,828,562,307,18,0,10,182,718,803,12,1715,0,0,0,0,0
2019,"XX",TRUE,"Злочини проти миру, безпеки людства та міжнародного правопорядку",NA,28,11,0,NA,6,1,0,0,0,1,2,3,0,0,0,2,4,0,0,6,0,0,0,0,0
