"Year","Article","Part","Chapter","CRTOT","CONVIC","ACQUIT","CMED","CCLOSE","SAMEVERD","CONFES","RECONC","CIRCUMS","SPONS","DENOPR","AMNESTY","DEATH","COTHER","x3LIFEIMP","x3IMP","x3IMP1","x3IMP12","x3IMP23","x3IMP35","x3IMP510","x3IMP1015","x3IMP1525","x3RESTOL","x3DISBAT","x3ARREST","x3CORRW","x3SRVRSTR","x3PUBLW","x3FINE","x3DEPR","x3PNOTHR","PROB","RELAMN","RELOTHR","ADDFINE","ADDRANK","ADDDEPR","ADDCONF","SETCR","SETSEN","ART69","COMTREAT","SPECCNF"
2022,"Article  109",1,"I",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  109",2,"I",14,13,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,3,0,2,0,2
2022,"Article  109",3,"I",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2022,"Article  110",1,"I",43,42,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,31,0,2,0,0,0,2,12,0,1,0,5
2022,"Article  110",2,"I",48,47,0,0,1,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,29,2,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,35,1,0,0,0
2022,"Article  110",3,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  110-2",1,"I",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
2022,"Article  110-2",2,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  110-2",3,"I",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,1,0,2,0,0
2022,"Article  110-2",4,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  111",1,"I",88,65,0,0,23,0,0,0,0,0,0,0,1,22,0,60,0,0,0,1,2,56,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,42,46,5,4,0,0
2022,"Article  111",2,"I",65,46,0,1,18,0,0,0,0,0,0,0,0,18,0,46,0,0,0,0,2,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,43,36,0,2,0,1
2022,"Article  111-1",1,"I",140,140,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,133,1,0,0,0,0,0,1,0,0,4,0,0,2
2022,"Article  111-1",2,"I",16,14,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0
2022,"Article  111-1",3,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  111-1",4,"I",17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,12,4,1,1,6,0,0
2022,"Article  111-1",5,"I",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2022,"Article  111-1",6,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  111-1",7,"I",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,"Article  111-1",8,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  111-2",1,"I",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  112",0,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  113",0,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  114",1,"I",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  114-1",1,"I",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  114-1",2,"I",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  114-2",1,"I",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  114-2",2,"I",18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,2
2022,"Article  114-2",3,"I",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022,"Article  115",1,"II",331,260,5,46,20,0,0,0,0,0,0,0,16,4,1,258,0,0,0,1,218,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,37,17,3,0,1
2022,"Article  115",2,"II",120,95,0,18,7,0,0,0,0,0,0,0,6,1,17,78,0,0,0,1,8,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,63,17,1,0,0
2022,"Article  116",0,"II",6,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
2022,"Article  117",0,"II",3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  118",0,"II",16,13,0,0,3,0,0,0,0,0,0,0,1,2,0,5,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  119",1,"II",72,59,0,1,12,0,0,0,0,1,0,0,3,8,0,21,0,0,9,12,0,0,0,3,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,3,2,1,0,0
2022,"Article  119",2,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  120",1,"II",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2022,"Article  120",2,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  120",3,"II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  121",1,"II",625,571,4,19,31,0,0,0,0,0,2,0,22,7,0,171,0,1,5,102,63,0,0,2,2,1,0,0,0,0,0,0,394,0,1,0,0,0,0,49,45,10,0,1
2022,"Article  121",2,"II",271,227,3,17,24,0,0,0,0,0,0,0,19,5,0,218,0,0,0,11,205,2,0,1,0,1,0,0,1,1,0,1,4,0,0,0,0,0,0,20,35,9,1,0
2022,"Article  122",1,"II",1052,441,0,5,606,0,0,61,8,4,476,0,12,45,0,45,13,18,8,2,4,0,0,42,0,1,6,1,3,5,0,1,332,1,4,0,0,0,1,44,19,4,0,0
2022,"Article  122",2,"II",13,6,0,0,7,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0
2022,"Article  123",0,"II",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Article  124",0,"II",48,38,0,0,10,0,0,0,0,2,0,0,2,6,0,4,3,1,0,0,0,0,0,1,0,1,0,0,11,1,0,0,18,0,2,0,0,0,0,0,1,1,0,0
2022,"Article  125",1,"II",6614,3003,3,21,3587,0,20,887,5,0,2316,1,44,314,0,19,2,1,2,12,2,0,0,7,0,8,4,0,819,2128,0,1,4,0,13,3,0,0,2,18,62,2,2,1
