"Year","Chapter","IsChp","Article","Art","FS22X1","FS22X2","FS22X3","FS22X4","FS22X5","FS22X6","FS22X7","FS22X8","FS22X9","FS22X10","FS22X11","FS22X12","FS22X13","FS22X14","FS22X15","FS22X16","FS22X17","FS22X18","FS22X19","FS22X20","FS22X21","FS22X22","FS22X23","FS22X24","FS22X25","FS22X26","FS22X27","FS22X28","FS22X29","FS22X30","FS22X31","FS22X32","FS22X33","FS22X34","FS22X35","FS22X36","FS22X37","FS22X38","FS22X39","FS22X40","FS22X41","FS22X42","FS22X43","FS22X44","FS22X45","FS22X46","FS22X47"
2023,"I",TRUE,"Кримінальні правопорушення проти основ національної безпеки України (р. І Кримінального кодексу України )",NA,8,0,4,0,4,1028,227,4,10,47,19,1,6,11,1,28,2,0,5,21,9,2,96,4,8,0,417,9,274,0,0,0,9,32,22,4,12,54,27,1,9,NA,1,NA,5,0,5
2023,"I",FALSE,"Дії, спрямовані на насильницьку зміну чи повалення конституційного ладу або на захоплення державної влади, ст. 109","109",0,0,0,0,0,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2023,"I",FALSE,"Посягання на територіальну цілісність і недоторканість України, ст. 110","110",3,0,0,0,3,131,12,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,0,NA,0,0,3
2023,"I",FALSE,"Фінансування дій, вчинених з метою насильницької зміни чи повалення конституційного ладу або захоплення державної влади, зміни меж території або державного кордону України, ст. 110-2","110-2",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2023,"I",FALSE,"Державна зрада, ст. 111","111",1,0,1,0,0,151,90,3,5,13,9,0,3,6,0,5,1,0,2,2,3,0,94,0,1,0,362,7,252,0,0,0,7,25,13,4,2,47,27,1,8,NA,0,NA,4,0,2
2023,"I",FALSE,"Колабораційна діяльність, ст.111-1","111-1",3,0,3,0,0,813,105,0,6,32,9,0,3,5,1,23,1,0,4,18,7,2,3,4,7,0,62,3,24,0,0,0,2,8,8,0,9,3,0,0,0,NA,0,NA,1,0,0
2023,"I",FALSE,"Пособництво державі-агресору, ст.111-2","111-2",0,0,0,0,0,68,23,0,1,8,2,0,1,1,0,2,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,NA,0,NA,0,0,0
2023,"I",FALSE,"Посягання на життя державного чи громадського діяча, ст. 112","112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2023,"I",FALSE,"Диверсія, ст. 113","113",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2023,"I",FALSE,"Шпигунство, ст. 114","114",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
