"Year","Chapter","IsChp","Article","Art","FS22X1","FS22X2","FS22X3","FS22X4","FS22X5","FS22X6","FS22X7","FS22X8","FS22X9","FS22X10","FS22X11","FS22X12","FS22X13","FS22X14","FS22X15","FS22X16","FS22X17","FS22X18","FS22X19","FS22X20","FS22X21","FS22X22","FS22X23","FS22X24","FS22X25","FS22X26","FS22X27","FS22X28","FS22X29","FS22X30","FS22X31","FS22X32","FS22X33","FS22X34","FS22X35","FS22X36","FS22X37","FS22X38","FS22X39","FS22X40","FS22X41","FS22X42","FS22X43","FS22X44","FS22X45","FS22X46","FS22X47"
2017,"I",TRUE,"Злочини проти основ національної безпеки України",NA,2,0,1,NA,1,41,22,46,10,12,0,0,0,0,0,1,0,0,1,0,0,0,100,0,NA,NA,3,2,0,0,0,0,0,1,0,0,0,14,6,0,0,0,0,0,NA,NA,NA
2017,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,157,37,56,NA,64,2127,358,1,0,7,3,0,1,1,1,2,0,0,1,1,0,0,0,0,NA,NA,56,1,48,0,0,0,0,1,0,0,0,61,4,0,7,3,3,0,NA,NA,NA
2017,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,7,2,0,NA,5,115,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,5,0,5,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,NA,NA,NA
2017,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,2,1,1,NA,0,57,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA
2017,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,8,6,1,NA,1,206,35,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,NA,17,1,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA
2017,"VI",TRUE,"Злочини проти власності",NA,752,358,290,NA,104,8447,1193,0,0,8,34,2,7,6,19,17,0,0,6,11,8,6,1,1,NA,NA,86,4,55,0,0,1,2,4,1,0,5,56,2,0,5,0,4,0,NA,NA,NA
2017,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,2,0,1,NA,1,217,177,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,9,0,5,0,0,2,0,0,0,2,1,1,0,0,0,0,1,0,NA,NA,NA
2017,"VIII",TRUE,"Злочини проти довкілля",NA,0,0,0,NA,0,167,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2017,"IX",TRUE,"Злочини проти громадської безпеки",NA,25,6,6,NA,13,906,190,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,10,2,NA,NA,60,2,47,0,0,0,2,2,2,2,1,65,5,0,11,3,4,0,NA,NA,NA
2017,"X",TRUE,"Злочини проти безпеки виробництва",NA,0,0,0,NA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2017,"XI",TRUE,"Злочини проти безпеки руху та експлуатації транспорту",NA,121,34,43,NA,44,1613,361,0,0,8,3,0,1,0,2,2,0,0,1,1,0,0,0,0,NA,NA,36,3,21,0,0,1,3,0,1,1,0,41,2,0,10,3,2,0,NA,NA,NA
2017,"XII",TRUE,"Злочини проти громадського порядку та моральності",NA,65,10,20,NA,35,540,66,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4,0,4,0,0,0,0,0,0,0,0,10,0,0,1,0,3,0,NA,NA,NA
2017,"XIII",TRUE,"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення",NA,42,10,16,NA,16,1960,361,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,20,1,11,0,0,0,0,3,1,1,0,18,0,0,1,0,2,0,NA,NA,NA
2017,"XIV",TRUE,"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації",NA,0,0,0,NA,0,95,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,5,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA
2017,"XV",TRUE,"Злочини проти авторитету органів державної влади, органів місцевого самоврядування, об'єднань громадян та злочини проти журналістів",NA,27,9,9,NA,9,545,152,0,0,11,8,0,2,2,4,5,0,1,2,2,2,0,2,0,NA,NA,25,4,14,0,0,2,1,1,0,0,1,20,1,0,4,1,1,0,NA,NA,NA
2017,"XVI",TRUE,"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку",NA,0,0,0,NA,0,25,5,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,NA,NA,7,1,1,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,NA,NA,NA
2017,"XVII",TRUE,"Злочини у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг",NA,0,0,0,NA,0,56,42,2,0,21,142,5,28,26,83,77,0,5,36,36,20,15,6,2,NA,NA,310,15,150,0,0,37,4,4,12,39,36,22,6,0,1,1,0,0,NA,NA,NA
2017,"XVIII",TRUE,"Злочини проти правосуддя",NA,4,2,1,NA,1,315,39,2,0,3,2,1,0,1,0,3,0,0,3,0,0,0,3,2,NA,NA,23,0,15,0,0,0,2,0,1,0,0,7,1,0,0,0,0,0,NA,NA,NA
2017,"XIX",TRUE,"Злочини проти встановленого порядку несення військової служби (військові злочини)",NA,0,0,0,NA,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,10,0,0,0,0,0,3,0,6,0,0,1121,25,6,132,25,28,2,NA,NA,NA
2017,"XX",TRUE,"Злочини проти миру, безпеки людства та міжнародного правопорядку",NA,1,0,0,NA,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA
