"Year","Chapter","IsChp","Article","Art","FS22X1","FS22X2","FS22X3","FS22X4","FS22X5","FS22X6","FS22X7","FS22X8","FS22X9","FS22X10","FS22X11","FS22X12","FS22X13","FS22X14","FS22X15","FS22X16","FS22X17","FS22X18","FS22X19","FS22X20","FS22X21","FS22X22","FS22X23","FS22X24","FS22X25","FS22X26","FS22X27","FS22X28","FS22X29","FS22X30","FS22X31","FS22X32","FS22X33","FS22X34","FS22X35","FS22X36","FS22X37","FS22X38","FS22X39","FS22X40","FS22X41","FS22X42","FS22X43","FS22X44","FS22X45","FS22X46","FS22X47"
2018,"I",TRUE,"Злочини проти основ національної безпеки України",NA,1,0,0,NA,1,82,16,9,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,10,5,0,0,0,0,0,NA,NA,NA
2018,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,183,55,70,NA,58,2015,289,0,2,6,5,0,1,2,2,4,0,0,2,2,0,0,0,0,NA,NA,42,0,36,0,0,1,0,2,1,0,4,54,2,1,14,2,7,0,NA,NA,NA
2018,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,8,2,1,NA,5,179,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,5,0,5,0,0,0,0,0,0,0,0,34,0,0,1,0,0,0,NA,NA,NA
2018,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,7,2,1,NA,4,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2018,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,4,0,2,NA,2,236,24,0,0,2,1,0,1,0,0,2,0,0,2,0,0,0,0,0,NA,NA,8,1,6,0,0,0,0,1,0,0,1,4,1,0,3,0,0,0,NA,NA,NA
2018,"VI",TRUE,"Злочини проти власності",NA,553,266,212,NA,75,7903,919,1,4,9,23,0,10,5,8,29,2,5,11,11,5,4,1,0,NA,NA,80,11,39,0,0,5,2,6,1,3,4,73,6,0,18,4,2,0,NA,NA,NA
2018,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,7,0,1,NA,6,276,153,1,1,2,0,0,0,0,0,3,0,1,1,1,0,0,0,1,NA,NA,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2018,"VIII",TRUE,"Злочини проти довкілля",NA,4,0,2,NA,2,210,8,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2018,"IX",TRUE,"Злочини проти громадської безпеки",NA,12,2,3,NA,7,904,186,1,1,5,1,0,0,0,1,0,0,0,0,0,0,0,6,0,NA,NA,19,0,10,0,0,1,0,0,1,1,0,55,2,0,10,0,3,0,NA,NA,NA
2018,"X",TRUE,"Злочини проти безпеки виробництва",NA,0,0,0,NA,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
2018,"XI",TRUE,"Злочини проти безпеки руху та експлуатації транспорту",NA,122,33,39,NA,50,1543,293,0,0,8,0,0,0,0,0,3,0,0,1,2,0,0,0,2,NA,NA,35,2,25,0,0,1,0,1,1,0,1,56,2,0,11,3,1,0,NA,NA,NA
2018,"XII",TRUE,"Злочини проти громадського порядку та моральності",NA,60,13,15,NA,32,665,91,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,10,0,3,0,0,0,1,1,0,0,0,19,1,0,11,3,0,0,NA,NA,NA
2018,"XIII",TRUE,"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення",NA,46,9,18,NA,19,2173,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,19,1,8,0,0,1,0,6,0,0,0,32,0,0,8,2,4,0,NA,NA,NA
2018,"XIV",TRUE,"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації",NA,2,0,0,NA,2,94,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,6,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,NA,NA,NA
2018,"XV",TRUE,"Злочини проти авторитету органів державної влади, органів місцевого самоврядування, об'єднань громадян та злочини проти журналістів",NA,19,1,4,NA,14,615,117,0,3,8,6,1,1,1,3,5,0,1,2,2,1,0,1,0,NA,NA,40,7,31,0,0,1,0,1,0,0,1,22,1,0,3,2,0,0,NA,NA,NA
2018,"XVI",TRUE,"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку",NA,4,0,0,NA,4,32,9,0,0,0,4,0,1,3,0,0,0,0,0,0,2,0,0,0,NA,NA,10,2,0,0,0,4,0,0,3,1,0,1,0,0,0,0,0,0,NA,NA,NA
2018,"XVII",TRUE,"Злочини у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг",NA,13,0,1,NA,12,49,33,2,4,92,159,3,61,47,48,103,2,12,45,44,35,12,21,1,NA,NA,326,16,171,0,0,35,1,10,10,33,25,28,16,0,2,2,1,0,NA,NA,NA
2018,"XVIII",TRUE,"Злочини проти правосуддя",NA,0,0,0,NA,0,245,28,0,0,2,4,1,1,1,1,0,0,0,0,0,0,0,7,2,NA,NA,38,5,31,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,NA,NA,NA
2018,"XIX",TRUE,"Злочини проти встановленого порядку несення військової служби (військові злочини)",NA,0,0,0,NA,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,3,0,0,0,0,0,1,0,2,0,0,2126,43,10,283,35,35,0,NA,NA,NA
2018,"XX",TRUE,"Злочини проти миру, безпеки людства та міжнародного правопорядку",NA,0,0,0,NA,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA
