"Year","Chapter","IsChp","Article","Art","FS22X1","FS22X2","FS22X3","FS22X4","FS22X5","FS22X6","FS22X7","FS22X8","FS22X9","FS22X10","FS22X11","FS22X12","FS22X13","FS22X14","FS22X15","FS22X16","FS22X17","FS22X18","FS22X19","FS22X20","FS22X21","FS22X22","FS22X23","FS22X24","FS22X25","FS22X26","FS22X27","FS22X28","FS22X29","FS22X30","FS22X31","FS22X32","FS22X33","FS22X34","FS22X35","FS22X36","FS22X37","FS22X38","FS22X39","FS22X40","FS22X41","FS22X42","FS22X43","FS22X44","FS22X45","FS22X46","FS22X47"
2019,"I",TRUE,"Злочини проти основ національної безпеки України",NA,0,0,0,NA,0,47,22,3,3,8,0,0,0,0,0,3,0,0,2,1,1,0,1,0,NA,NA,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,NA,NA,NA
2019,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,179,55,54,NA,70,1842,234,1,0,7,2,0,1,1,0,2,0,1,1,0,0,1,0,0,NA,NA,30,0,23,0,0,0,4,0,0,1,1,45,2,0,16,2,4,0,NA,NA,NA
2019,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,4,2,1,NA,1,150,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,NA,NA,NA
2019,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,5,3,1,NA,1,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA
2019,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,5,3,0,NA,2,205,21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,13,0,10,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA
2019,"VI",TRUE,"Злочини проти власності",NA,489,234,186,NA,69,7184,764,1,2,7,27,0,12,6,9,33,2,2,21,8,7,4,3,0,NA,NA,69,3,43,0,0,1,4,1,4,1,6,64,2,0,17,2,9,0,NA,NA,NA
2019,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,5,0,0,NA,5,280,144,1,0,4,2,0,0,2,0,5,0,0,1,4,0,0,0,0,NA,NA,4,0,0,0,0,1,0,1,2,0,1,2,0,0,0,0,0,0,NA,NA,NA
2019,"VIII",TRUE,"Злочини проти довкілля",NA,2,0,2,NA,0,116,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2019,"IX",TRUE,"Злочини проти громадської безпеки",NA,15,3,4,NA,8,753,144,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,NA,46,0,12,0,0,25,3,1,0,1,1,52,2,0,16,1,4,0,NA,NA,NA
2019,"X",TRUE,"Злочини проти безпеки виробництва",NA,0,0,0,NA,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,NA,NA,NA
